games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,imagine_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,949076,000,2023-10-02_13h31.51.950,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,949076,000,2023-10-02_13h31.51.950,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,13.992448999997578,,,949076,000,2023-10-02_13h31.51.950,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,949076,000,2023-10-02_13h31.51.950,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,22.779622707996168,,949076,000,2023-10-02_13h31.51.950,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,949076,000,2023-10-02_13h31.51.950,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,949076,000,2023-10-02_13h31.51.950,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,33.7018946249882,,949076,000,2023-10-02_13h31.51.950,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,949076,000,2023-10-02_13h31.51.950,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,34.43281533299887,,,,,,,
