trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,piece.started,moving_piece.started,npc.started,moving_npc.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.397004750033375,10.999785500054713,12.018299250048585,13.010154792049434,908622,001,2023-08-30_11h39.11.226,WythoffsHumanExp,2023.1.3,None,
,,,,14.009298750024755,15.246764709008858,,,,,,,,,
