games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,status_text.started,imagine_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,692045,002,2023-10-06_16h26.56.112,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,692045,002,2023-10-06_16h26.56.112,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,14.945147957998415,,,,,,,,,,,692045,002,2023-10-06_16h26.56.112,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,[],[],[],[],[],[],,,,,692045,002,2023-10-06_16h26.56.112,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,,,,,"[-0.2688888888888889, -0.2688888888888889, -0.2688888888888889, -0.2688888888888889, -0.2688888888888889, -0.2688888888888889, -0.2688888888888889, -0.2688888888888889, -0.2688888888888889, -0.2688888888888889, -0.2688888888888889, -0.2688888888888889, -0.2688888888888889, -0.2688888888888889, -0.27444444444444444, -0.3055555555555556, -0.37, -0.41555555555555557, -0.42444444444444446, -0.42444444444444446, -0.42333333333333334, -0.4166666666666667, -0.3933333333333333, -0.37444444444444447, -0.36, -0.3511111111111111, -0.35, -0.35, -0.35, -0.3511111111111111, -0.3511111111111111, -0.3511111111111111, -0.3488888888888889, -0.34555555555555556, -0.3433333333333333, -0.3377777777777778, -0.3288888888888889, -0.3244444444444444, -0.3244444444444444, -0.3244444444444444, -0.3244444444444444, -0.3244444444444444, -0.3244444444444444, -0.3244444444444444, -0.3244444444444444, -0.3244444444444444, -0.3244444444444444, -0.3244444444444444, -0.30666666666666664, -0.26666666666666666, -0.25222222222222224, -0.2511111111111111, -0.2511111111111111, -0.2511111111111111, -0.2511111111111111, -0.2544444444444444, -0.2577777777777778, -0.2611111111111111, -0.26555555555555554, -0.2733333333333333, -0.29888888888888887, -0.35, -0.3888888888888889, -0.4011111111111111, -0.4011111111111111, -0.4011111111111111, -0.4011111111111111, -0.4011111111111111, -0.4077777777777778, -0.4177777777777778, -0.4222222222222222, -0.42444444444444446, -0.42444444444444446, -0.42444444444444446, -0.4255555555555556, -0.4222222222222222, -0.40555555555555556, -0.37222222222222223, -0.3422222222222222, -0.33111111111111113, -0.33, -0.33111111111111113, -0.33111111111111113, -0.33111111111111113, -0.33111111111111113, -0.33111111111111113, -0.33111111111111113, -0.33111111111111113, -0.33111111111111113, -0.33, -0.32, -0.3, -0.28888888888888886, -0.2866666666666667, -0.2866666666666667, -0.2866666666666667, -0.2866666666666667, -0.2866666666666667, -0.2866666666666667, -0.2811111111111111, -0.24333333333333335, -0.22, -0.21555555555555556, -0.21555555555555556, -0.21555555555555556, -0.21555555555555556]","[0.23333333333333334, 0.23333333333333334, 0.23333333333333334, 0.23333333333333334, 0.23333333333333334, 0.23333333333333334, 0.23333333333333334, 0.23333333333333334, 0.23333333333333334, 0.23333333333333334, 0.23333333333333334, 0.23333333333333334, 0.23333333333333334, 0.23333333333333334, 0.23333333333333334, 0.23777777777777778, 0.24444444444444444, 0.25333333333333335, 0.2577777777777778, 0.2577777777777778, 0.2577777777777778, 0.2577777777777778, 0.2577777777777778, 0.2577777777777778, 0.25555555555555554, 0.25555555555555554, 0.25555555555555554, 0.2544444444444444, 0.25333333333333335, 0.25222222222222224, 0.25, 0.2477777777777778, 0.24222222222222223, 0.23777777777777778, 0.23555555555555555, 0.2311111111111111, 0.22555555555555556, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2088888888888889, 0.18333333333333332, 0.17444444444444446, 0.17222222222222222, 0.17, 0.17, 0.17, 0.17333333333333334, 0.17666666666666667, 0.17888888888888888, 0.1811111111111111, 0.18777777777777777, 0.20444444444444446, 0.24333333333333335, 0.28, 0.29888888888888887, 0.3011111111111111, 0.3011111111111111, 0.3011111111111111, 0.3011111111111111, 0.32, 0.35333333333333333, 0.3811111111111111, 0.3988888888888889, 0.40444444444444444, 0.4022222222222222, 0.37444444444444447, 0.3277777777777778, 0.3088888888888889, 0.2966666666666667, 0.28888888888888886, 0.28555555555555556, 0.28444444444444444, 0.28444444444444444, 0.28444444444444444, 0.28444444444444444, 0.28444444444444444, 0.28444444444444444, 0.28444444444444444, 0.28444444444444444, 0.27555555555555555, 0.24222222222222223, 0.21444444444444444, 0.1988888888888889, 0.1922222222222222, 0.19, 0.18888888888888888, 0.18888888888888888, 0.18888888888888888, 0.18888888888888888, 0.18888888888888888, 0.18777777777777777, 0.17, 0.16, 0.15888888888888889, 0.15888888888888889, 0.15888888888888889, 0.15888888888888889]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016766699991421774, 0.051005875000555534, 0.10057254200000898, 0.15033599999878788, 0.2000975830014795, 0.24991025000053924, 0.299791000001278, 0.349255125001946, 0.3993349170013971, 0.448708167001314, 0.49802337499932037, 0.5468690420020721, 0.5956531250012631, 0.6447834579994378, 0.6945184169999266, 0.7446167919988511, 0.7944629170015105, 0.8442524999991292, 0.8941552500000398, 0.9435589579989028, 0.993444833002286, 1.0432027079987165, 1.0929073750012321, 1.1429957500004093, 1.1926421249991108, 1.2424657500014291, 1.2923816250004165, 1.3422152080020169, 1.3919871250000142, 1.44177183300053, 1.491600125002151, 1.5413088329987659, 1.5912271250017511, 1.6415672500006622, 1.692393291999906, 1.7426606670014735, 1.792492291999224, 1.8420278750018042, 1.8916590830012865, 1.941083500001696, 1.9899205830006395, 2.0396895420017245, 2.088890208000521, 2.1379348330010544, 2.186955291999766, 2.2358830830016814, 2.2858464999990247, 2.3360639169986825, 2.3865894170012325, 2.4374236250005197, 2.487343167002109, 2.5372826250022626, 2.5873592919997463, 2.636832874999527, 2.6865560000005644, 2.7366769170002954, 2.787087374999828, 2.836791292000271, 2.8866510830011975, 2.9363599169992085, 2.9870640420012933, 3.0369205829993007, 3.0866979169986735, 3.1366087079986755, 3.186487999999372, 3.2362948750014766, 3.286437124999793, 3.337685667000187, 3.3877598330000183, 3.437850417001755, 3.4874300830015272, 3.5369646250001097, 3.587175542001205, 3.6370244169993384, 3.6868295000022044, 3.736739457999647, 3.7866239579998364, 3.836370832999819, 3.886811917000159, 3.936962625000888, 3.9865925000012794, 4.036696457998914, 4.086501124998904, 4.136218457999348, 4.186080750001565, 4.236369041998842, 4.2859252500020375, 4.336079791999509, 4.3864606249990175, 4.43699766699865, 4.487162083001749, 4.537417957999423, 4.587197917000594, 4.636847750000015, 4.68645983299939, 4.737072667001485, 4.786991249999119, 4.836433958000271, 4.886427042001742, 4.9368475420014875, 4.986825832998875, 5.036974375001591, 5.086942917001579, 5.136661000000458, 5.186499208000896, 5.237033917001099]",0.0048187920001510065,,,,692045,002,2023-10-06_16h26.56.112,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,2,0,2,0,,,,,,,,,,"[-0.10444444444444445, -0.10444444444444445, -0.10444444444444445, -0.10444444444444445, -0.10444444444444445, -0.10444444444444445, -0.10444444444444445, -0.10444444444444445, -0.10444444444444445, -0.10444444444444445, -0.10444444444444445, -0.10444444444444445, -0.10444444444444445, -0.10666666666666667, -0.1511111111111111, -0.23444444444444446, -0.33, -0.3844444444444444, -0.40444444444444444, -0.40444444444444444, -0.4022222222222222, -0.3933333333333333, -0.37777777777777777, -0.3611111111111111, -0.35444444444444445, -0.35444444444444445]","[0.12777777777777777, 0.12777777777777777, 0.12777777777777777, 0.12777777777777777, 0.12777777777777777, 0.12777777777777777, 0.12777777777777777, 0.12777777777777777, 0.12777777777777777, 0.12777777777777777, 0.12777777777777777, 0.12777777777777777, 0.12777777777777777, 0.12777777777777777, 0.14444444444444443, 0.18333333333333332, 0.2388888888888889, 0.2811111111111111, 0.29888888888888887, 0.3011111111111111, 0.3011111111111111, 0.3011111111111111, 0.3011111111111111, 0.3, 0.29888888888888887, 0.29888888888888887]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001686670002527535, 0.04937399999835179, 0.09866333299942198, 0.14763041699916357, 0.197201082999527, 0.24681554199923994, 0.29598812499898486, 0.34569037499750266, 0.39449470799809205, 0.44329012500020326, 0.49258800000097835, 0.541808250000031, 0.5914469579984143, 0.6411515420004434, 0.690888166998775, 0.7410307919999468, 0.7910390830002143, 0.8398978750010428, 0.8909777499975462, 0.9416911250009434, 0.9935902079996595, 1.045255917000759, 1.0966530830010015, 1.1478975829995761, 1.1991292919992702, 1.248891791998176]",0.047529667001072085,,,,692045,002,2023-10-06_16h26.56.112,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,3,0,3,0,,,,,,,,,,"[-0.4177777777777778, -0.4177777777777778, -0.4177777777777778]","[0.4166666666666667, 0.4166666666666667, 0.4166666666666667]","[0, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.00017474999913247302, 0.050369084001431474, 0.09983579199979431]",0.003312459000881063,,,,692045,002,2023-10-06_16h26.56.112,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,36.17551749999984,,,692045,002,2023-10-06_16h26.56.112,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,"[-0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778]","[0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.00017795799794839695, 0.049785582999902545, 0.09909258300103829, 0.14842462500018883, 0.19775649999792222, 0.24756079199869419, 0.2978011669983971]",0.05070266700204229,,,,692045,002,2023-10-06_16h26.56.112,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,42.124448999999004,,,692045,002,2023-10-06_16h26.56.112,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,692045,002,2023-10-06_16h26.56.112,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,43.24264370799938,,692045,002,2023-10-06_16h26.56.112,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,69.18095416600045,692045,002,2023-10-06_16h26.56.112,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,692045,002,2023-10-06_16h26.56.112,WythoffsHumanExp,2023.1.3,None,
