board_outline.started,box_1.started,text_1.started,arrow.started,box_2.started,text_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,433586,001,2023-09-27_14h33.57.486,WythoffsHumanExp,2023.1.3,None,
10.067197708005551,10.067197708005551,10.067197708005551,10.067197708005551,10.067197708005551,10.067197708005551,,,,,,,
