games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,19.476718959005666,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,2,0,2,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,41.49109750000207,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,3,0,3,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,83.87667083400447,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,2,0,2,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,103.90588912500243,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,2,0,2,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,,146.75701495900284,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,0,0,0,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,1,0,1,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,,,,,,156.78080866700475,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,0,0,0,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,1,0,1,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,,,,,,166.9932560840025,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,0,0,0,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,1,0,1,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,2,0,2,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,3,0,3,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,,,,,,188.2015715000016,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,0,0,0,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,1,0,1,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,2,0,2,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,3,0,3,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,,,,,,226.10839058400597,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,0,0,0,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,1,0,1,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,2,0,2,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,,,,,,240.28158950000216,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,0,0,0,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,1,0,1,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,2,0,2,0,,,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,,,,,,257.25048095900274,805746,001,2023-09-29_14h36.25.426,WythoffsHumanExp,2023.1.3,None,
