trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,countdown_text.started,npc.started,moving_npc.started,piece.started,text.started,moving_piece.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.491352375014685,11.475902042002417,12.7574951670249,,,,210757,001,2023-09-22_16h40.42.293,WythoffsHumanExp,2023.1.3,None,
,,,,,,,13.745370124990586,13.745370124990586,15.223215874982998,,,,,,,
