section_0_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,343825,001,2023-10-27_15h11.02.282,WythoffsHumanExp,2023.1.3,None,
,343825,001,2023-10-27_15h11.02.282,WythoffsHumanExp,2023.1.3,None,
15.278391959000146,,,,,,,
