games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,11.673850082996069,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,17.69849012501072,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,27.45419466702151,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,2,0,2,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,3,0,3,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,47.21080070800963,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,2,0,2,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,,61.015025291999336,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,0,0,0,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,1,0,1,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,,,,,,70.2597308330005,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,0,0,0,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,,,,,,76.2528924579965,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,0,0,0,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,1,0,1,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,2,0,2,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,3,0,3,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,4,0,4,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,,,,,,113.26562275001197,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,0,0,0,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,1,0,1,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,2,0,2,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,,,,,,126.13889291702071,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,0,0,0,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,1,0,1,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,,,,,,141.09075274999486,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,0,0,0,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,1,0,1,0,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,,,,,,151.27167962500243,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,151.7764931670099,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,153.0825710420031,572479,001,2023-10-05_12h50.29.594,WythoffsHumanExp,2023.1.3,None,
