games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,919449,001,2023-10-12_15h15.27.797,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,919449,001,2023-10-12_15h15.27.797,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,17.792292375001125,,,,,,,,,,,919449,001,2023-10-12_15h15.27.797,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,[],[],[],[],[],[],,,,,919449,001,2023-10-12_15h15.27.797,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,,,,,"[-0.18444444444444444, -0.18777777777777777, -0.20222222222222222, -0.21666666666666667, -0.22555555555555556, -0.22666666666666666, -0.21555555555555556, -0.16444444444444445, -0.12333333333333334, -0.09888888888888889, -0.09222222222222222, -0.09222222222222222, -0.09222222222222222, -0.09222222222222222, -0.08888888888888889, -0.06444444444444444, -0.05, -0.04888888888888889, -0.04888888888888889, -0.04888888888888889, -0.05, -0.051111111111111114, -0.052222222222222225]","[0.1411111111111111, 0.14, 0.1388888888888889, 0.13666666666666666, 0.13555555555555557, 0.13555555555555557, 0.14222222222222222, 0.17444444444444446, 0.2, 0.21222222222222223, 0.21333333333333335, 0.21333333333333335, 0.21333333333333335, 0.21333333333333335, 0.2222222222222222, 0.2788888888888889, 0.3466666666666667, 0.36333333333333334, 0.37333333333333335, 0.38, 0.3888888888888889, 0.4011111111111111, 0.4033333333333333]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003888339997502044, 0.05054604199540336, 0.09992404199147131, 0.14856720899115317, 0.1973195839964319, 0.2462904999993043, 0.2951852499973029, 0.3446069589990657, 0.39385712500370573, 0.44292783399578184, 0.49167999999190215, 0.5396156249917112, 0.5883601669920608, 0.6370422920008423, 0.6858641669969074, 0.7346400840033311, 0.8289339589973679, 0.8812205839931266, 0.9319512499932898, 0.9818499169923598, 1.0322301249980228, 1.0827832920040237, 1.1331711249949876]",0.01569191699672956,,,,919449,001,2023-10-12_15h15.27.797,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,29.64520800000173,,,919449,001,2023-10-12_15h15.27.797,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,"[-0.41333333333333333, -0.41333333333333333, -0.41333333333333333]","[0.40444444444444444, 0.40444444444444444, 0.40444444444444444]","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0.0002243750059278682, 0.04943137500958983, 0.0986860420089215]",0.00719270900299307,,,,919449,001,2023-10-12_15h15.27.797,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,35.290825208008755,,,919449,001,2023-10-12_15h15.27.797,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,35.80886054200528,,919449,001,2023-10-12_15h15.27.797,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,919449,001,2023-10-12_15h15.27.797,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,36.7662362500123,919449,001,2023-10-12_15h15.27.797,WythoffsHumanExp,2023.1.3,None,
