board_outline.started,box_1.started,text_1.started,arrow.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,303938,001,2023-09-27_13h34.28.663,WythoffsHumanExp,2023.1.3,None,
9.472779082949273,9.472779082949273,9.472779082949273,9.472779082949273,,,,,,,
