games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,144650,001,2023-10-12_13h02.32.216,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,144650,001,2023-10-12_13h02.32.216,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,25.758338790998096,,,,,,,,,,,144650,001,2023-10-12_13h02.32.216,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,[],[],[],[],[],[],,,,,144650,001,2023-10-12_13h02.32.216,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,"[-0.3288888888888889, -0.3333333333333333, -0.3411111111111111, -0.34555555555555556, -0.3488888888888889, -0.35777777777777775, -0.3711111111111111, -0.38222222222222224, -0.39222222222222225, -0.39444444444444443, -0.39444444444444443, -0.39555555555555555, -0.3988888888888889, -0.4022222222222222, -0.4033333333333333, -0.39666666666666667, -0.3788888888888889, -0.35888888888888887, -0.3477777777777778, -0.3466666666666667, -0.34555555555555556, -0.34555555555555556, -0.34555555555555556, -0.34555555555555556, -0.34555555555555556, -0.34555555555555556, -0.34555555555555556, -0.34555555555555556, -0.3466666666666667, -0.3488888888888889, -0.3522222222222222, -0.35777777777777775, -0.3655555555555556, -0.38, -0.39222222222222225, -0.4022222222222222, -0.4111111111111111, -0.41333333333333333]","[0.3288888888888889, 0.3277777777777778, 0.3244444444444444, 0.3244444444444444, 0.3244444444444444, 0.3211111111111111, 0.31666666666666665, 0.3111111111111111, 0.30666666666666664, 0.30444444444444446, 0.3011111111111111, 0.2966666666666667, 0.2877777777777778, 0.2777777777777778, 0.2644444444444444, 0.24222222222222223, 0.21333333333333335, 0.18777777777777777, 0.17888888888888888, 0.17777777777777778, 0.17777777777777778, 0.17777777777777778, 0.17777777777777778, 0.17888888888888888, 0.18, 0.1811111111111111, 0.18222222222222223, 0.18444444444444444, 0.18555555555555556, 0.18666666666666668, 0.18777777777777777, 0.19, 0.19444444444444445, 0.20444444444444446, 0.21222222222222223, 0.21666666666666667, 0.22111111111111112, 0.22333333333333333]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0004225410084472969, 0.05110766600409988, 0.1005232080060523, 0.15046158300538082, 0.19986970799800474, 0.24931466599809937, 0.29897320800228044, 0.3491646659967955, 0.39857991600001696, 0.44861895800568163, 0.4980294999986654, 0.5479968330037082, 0.5980172080016928, 0.6485029159957776, 0.6985162500059232, 0.748676000002888, 0.7981016660050955, 0.8504230830003507, 0.9003330830018967, 0.9501502500061179, 0.9999030830076663, 1.0490321249963017, 1.098192833000212, 1.148263291004696, 1.198306207996211, 1.2486481249943608, 1.298465041007148, 1.348367208003765, 1.3984726250055246, 1.4482960000023013, 1.4988487500086194, 1.548963499997626, 1.598584250008571, 1.64820912500727, 1.6982056660053786, 1.748298958002124, 1.798503416008316, 1.8488068750011735]",0.045132583007216454,,,,144650,001,2023-10-12_13h02.32.216,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,37.850376832997426,,,144650,001,2023-10-12_13h02.32.216,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,"[-0.18666666666666668, -0.18666666666666668, -0.18666666666666668, -0.18666666666666668, -0.18666666666666668, -0.18666666666666668, -0.18666666666666668, -0.18666666666666668, -0.18666666666666668, -0.18666666666666668, -0.18666666666666668, -0.18666666666666668]","[0.3611111111111111, 0.3611111111111111, 0.3611111111111111, 0.3611111111111111, 0.3611111111111111, 0.3611111111111111, 0.3622222222222222, 0.36333333333333334, 0.36333333333333334, 0.36333333333333334, 0.36333333333333334, 0.36333333333333334]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003918750007869676, 0.04986070899758488, 0.0990877919975901, 0.1479826669965405, 0.1967052920081187, 0.24571937500149943, 0.29503362500690855, 0.3444262920093024, 0.3933369590085931, 0.4422390840045409, 0.49090808400069363, 0.5405455000000075]",0.023555791995022446,,,,144650,001,2023-10-12_13h02.32.216,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,,"[-0.4088888888888889, -0.4088888888888889, -0.4033333333333333, -0.3844444444444444, -0.36666666666666664, -0.35555555555555557, -0.3488888888888889, -0.34555555555555556, -0.3433333333333333, -0.3433333333333333, -0.3422222222222222, -0.3411111111111111, -0.3411111111111111, -0.3411111111111111]","[0.40555555555555556, 0.40555555555555556, 0.4011111111111111, 0.38, 0.3611111111111111, 0.3477777777777778, 0.3422222222222222, 0.3388888888888889, 0.3388888888888889, 0.3388888888888889, 0.3388888888888889, 0.3411111111111111, 0.3433333333333333, 0.3433333333333333]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017670801025815308, 0.04931850000866689, 0.09854604200518224, 0.14757166701019742, 0.19674420800583903, 0.24588766699889675, 0.2953707080014283, 0.34436579199973494, 0.3937359999981709, 0.44285162500455044, 0.4921226670121541, 0.541461208005785, 0.5912917500099866, 0.6404370829986874]",0.01454254100099206,,,,144650,001,2023-10-12_13h02.32.216,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,50.2994954159949,,,144650,001,2023-10-12_13h02.32.216,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,51.02462104099686,,144650,001,2023-10-12_13h02.32.216,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,144650,001,2023-10-12_13h02.32.216,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,52.817320916001336,144650,001,2023-10-12_13h02.32.216,WythoffsHumanExp,2023.1.3,None,
