games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,577621,001,2023-10-05_16h39.10.978,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,577621,001,2023-10-05_16h39.10.978,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,10.749774375000015,,577621,001,2023-10-05_16h39.10.978,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,577621,001,2023-10-05_16h39.10.978,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,577621,001,2023-10-05_16h39.10.978,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,2,0,2,0,,,577621,001,2023-10-05_16h39.10.978,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,23.294863666999845,577621,001,2023-10-05_16h39.10.978,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,577621,001,2023-10-05_16h39.10.978,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,30.89074766700014,577621,001,2023-10-05_16h39.10.978,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,577621,001,2023-10-05_16h39.10.978,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,577621,001,2023-10-05_16h39.10.978,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,2,0,2,0,,,577621,001,2023-10-05_16h39.10.978,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,3,0,3,0,,,577621,001,2023-10-05_16h39.10.978,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,4,0,4,0,,,577621,001,2023-10-05_16h39.10.978,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,145.7777804999996,,,,,,,
