games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,status_text.started,imagine_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,984991,002,2023-10-12_11h00.27.205,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,984991,002,2023-10-12_11h00.27.205,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,13.475615332994494,,,,,,,,,,,984991,002,2023-10-12_11h00.27.205,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,[],[],[],[],[],[],,,,,984991,002,2023-10-12_11h00.27.205,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,,,,,"[-0.0811111111111111, -0.0811111111111111, -0.0811111111111111, -0.0811111111111111, -0.0811111111111111, -0.0811111111111111, -0.0811111111111111, -0.0811111111111111, -0.0811111111111111, -0.0811111111111111, -0.0811111111111111, -0.0811111111111111, -0.0811111111111111, -0.08, -0.06888888888888889, -0.06666666666666667, -0.08666666666666667, -0.13111111111111112, -0.18888888888888888, -0.2088888888888889, -0.22111111111111112, -0.23, -0.23666666666666666, -0.24333333333333335, -0.25, -0.2544444444444444, -0.25555555555555554, -0.25555555555555554, -0.25555555555555554, -0.2544444444444444, -0.25333333333333335, -0.25333333333333335, -0.25333333333333335, -0.25333333333333335, -0.25333333333333335, -0.25333333333333335, -0.25333333333333335, -0.25333333333333335, -0.25333333333333335, -0.26, -0.2833333333333333, -0.3055555555555556, -0.32, -0.33444444444444443, -0.3488888888888889, -0.35777777777777775, -0.36444444444444446, -0.3711111111111111, -0.3788888888888889, -0.3844444444444444, -0.39111111111111113, -0.39444444444444443, -0.39555555555555555, -0.39555555555555555, -0.39555555555555555]","[0.20444444444444446, 0.20444444444444446, 0.20444444444444446, 0.20444444444444446, 0.20444444444444446, 0.20444444444444446, 0.20444444444444446, 0.20444444444444446, 0.20444444444444446, 0.20444444444444446, 0.20444444444444446, 0.20444444444444446, 0.20444444444444446, 0.2011111111111111, 0.15888888888888889, 0.08333333333333333, 0.03222222222222222, -0.006666666666666667, -0.03, -0.034444444444444444, -0.03777777777777778, -0.04, -0.043333333333333335, -0.04555555555555556, -0.04777777777777778, -0.04777777777777778, -0.04777777777777778, -0.04666666666666667, -0.044444444444444446, -0.043333333333333335, -0.043333333333333335, -0.043333333333333335, -0.043333333333333335, -0.043333333333333335, -0.043333333333333335, -0.043333333333333335, -0.043333333333333335, -0.043333333333333335, -0.043333333333333335, -0.043333333333333335, -0.04666666666666667, -0.05, -0.052222222222222225, -0.056666666666666664, -0.058888888888888886, -0.06, -0.06, -0.06, -0.058888888888888886, -0.056666666666666664, -0.05555555555555555, -0.05555555555555555, -0.05555555555555555, -0.05555555555555555, -0.05555555555555555]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017741699411999434, 0.04977387499820907, 0.09948950000398327, 0.14881458299350925, 0.19829591699817684, 0.24793641699943691, 0.2973615420050919, 0.34712375000526663, 0.39640583300206345, 0.44655479199718684, 0.49653645799844526, 0.5461770830006571, 0.5968941250030184, 0.6471299999975599, 0.6975650420063175, 0.7478001669951482, 0.7982404170033988, 0.850251166993985, 0.9334397079946939, 0.986276583003928, 1.0367176250001648, 1.087457292000181, 1.1378093329985859, 1.1885124580003321, 1.2383317920030095, 1.2879828750010347, 1.3378574999951525, 1.387386707996484, 1.4368179169978248, 1.4860110830049962, 1.5355307499994524, 1.5844559999968624, 1.6337145830038935, 1.6821755830023903, 1.7316756670043105, 1.7807399580051424, 1.8302270419953857, 1.8798398749931948, 1.929939875000855, 1.9803328330017393, 2.031151207993389, 2.082320832996629, 2.131727875006618, 2.1819092920050025, 2.2317816669965396, 2.2822185830009403, 2.332024792005541, 2.3815240830008406, 2.43155404200661, 2.4816652919980697, 2.531485832994804, 2.5823896670044633, 2.6328636249963893, 2.6825842919934075, 2.7326798750000307]",0.018022250005742535,,,,984991,002,2023-10-12_11h00.27.205,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,2,0,2,0,,,,,,,,,,"[-0.6322222222222222, -0.6322222222222222, -0.6322222222222222, -0.6322222222222222, -0.5866666666666667, -0.5055555555555555, -0.4311111111111111, -0.4066666666666667, -0.4022222222222222, -0.4022222222222222, -0.4011111111111111, -0.3988888888888889, -0.3988888888888889, -0.3988888888888889, -0.4, -0.4]","[-0.1, -0.1, -0.1, -0.1, 0.008888888888888889, 0.20777777777777778, 0.35777777777777775, 0.4033333333333333, 0.41444444444444445, 0.4177777777777778, 0.4266666666666667, 0.43444444444444447, 0.43555555555555553, 0.43, 0.4255555555555556, 0.42333333333333334]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017708299856167287, 0.05019358299614396, 0.10001783299958333, 0.15042816700588446, 0.20070625000516884, 0.2505958749970887, 0.30097070800547954, 0.3514657920022728, 0.4015424579993123, 0.4519433749956079, 0.5014638330030721, 0.5509885420033243, 0.6011215829930734, 0.6509262500039767, 0.7017347920045722, 0.7513679169933312]",0.01940887499949895,,,,984991,002,2023-10-12_11h00.27.205,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,28.251304167002672,,,984991,002,2023-10-12_11h00.27.205,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,"[-0.3888888888888889, -0.3888888888888889, -0.39111111111111113, -0.39444444444444443, -0.3988888888888889, -0.4022222222222222, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.40555555555555556, -0.4088888888888889, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111]","[0.21, 0.21, 0.21, 0.21222222222222223, 0.21666666666666667, 0.21888888888888888, 0.22, 0.22, 0.22, 0.22, 0.22111111111111112, 0.22111111111111112, 0.22111111111111112, 0.22111111111111112, 0.22111111111111112, 0.22111111111111112, 0.22, 0.21666666666666667, 0.21333333333333335, 0.20444444444444446, 0.19444444444444445, 0.19, 0.18888888888888888, 0.18777777777777777]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0004343330074334517, 0.050090415999875404, 0.0999031660030596, 0.15063916600774974, 0.2005395000014687, 0.25101587500830647, 0.30055858301057015, 0.34973416601133067, 0.39962075000221375, 0.4501657500077272, 0.4991297500091605, 0.5483656660071574, 0.5973467910080217, 0.6466425830003573, 0.6959902910020901, 0.7458368329971563, 0.7960943750076694, 0.8461242080084048, 0.8963461660023313, 0.9466927080065943, 0.9967750830110162, 1.0463144579989603, 1.0968987500091316, 1.1464255410101032]",0.03282158299407456,,,,984991,002,2023-10-12_11h00.27.205,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,37.79455954200239,,,984991,002,2023-10-12_11h00.27.205,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,984991,002,2023-10-12_11h00.27.205,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,39.012973999997484,,984991,002,2023-10-12_11h00.27.205,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,40.01666516700061,984991,002,2023-10-12_11h00.27.205,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,984991,002,2023-10-12_11h00.27.205,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,984991,002,2023-10-12_11h00.27.205,WythoffsHumanExp,2023.1.3,None,
