trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,countdown_text.started,blue_piece.started,red_piece.started,npc.started,moving_npc.started,piece.started,text.started,moving_piece.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,9.38691670895787,9.38691670895787,9.38691670895787,12.409054291958455,13.697518499975558,,,,628429,001,2023-09-25_12h20.03.625,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,24.059033792000264,25.29302679200191,14.684871167002711,14.684871167002711,23.036008374998346,628429,001,2023-09-25_12h20.03.625,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,26.3191854589968,26.3191854589968,26.963945416966453,,,,,,,
