games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,117162,002,2023-10-02_12h22.10.073,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,117162,002,2023-10-02_12h22.10.073,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,14.056487624999136,,,117162,002,2023-10-02_12h22.10.073,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,117162,002,2023-10-02_12h22.10.073,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,117162,002,2023-10-02_12h22.10.073,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,34.411852042001556,,117162,002,2023-10-02_12h22.10.073,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,117162,002,2023-10-02_12h22.10.073,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,117162,002,2023-10-02_12h22.10.073,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,,117162,002,2023-10-02_12h22.10.073,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,3,0,3,0,,,,117162,002,2023-10-02_12h22.10.073,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,60.078547750003054,,117162,002,2023-10-02_12h22.10.073,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,60.78049708400795,117162,002,2023-10-02_12h22.10.073,WythoffsHumanExp,2023.1.3,None,
