games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,028754,001,2023-10-12_14h09.03.935,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,028754,001,2023-10-12_14h09.03.935,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,13.917384082989884,,,,,,,,,,,028754,001,2023-10-12_14h09.03.935,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,[],[],[],[],[],[],,,,,028754,001,2023-10-12_14h09.03.935,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,,,,,"[-0.3511111111111111, -0.3511111111111111, -0.3511111111111111, -0.3511111111111111, -0.3511111111111111, -0.3511111111111111, -0.3511111111111111, -0.3511111111111111, -0.3511111111111111, -0.3511111111111111, -0.3511111111111111, -0.35, -0.35, -0.35, -0.35, -0.35]","[0.28555555555555556, 0.28555555555555556, 0.28555555555555556, 0.28555555555555556, 0.28555555555555556, 0.28555555555555556, 0.28555555555555556, 0.28555555555555556, 0.2866666666666667, 0.3022222222222222, 0.31777777777777777, 0.33111111111111113, 0.3388888888888889, 0.3411111111111111, 0.3411111111111111, 0.3411111111111111]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016862500342540443, 0.05025937499885913, 0.10060070898907725, 0.15048962499713525, 0.20082045899471268, 0.2512366250011837, 0.30140708399994764, 0.35076795899658464, 0.40115008399880026, 0.45202104200143367, 0.502758000002359, 0.5530816669925116, 0.6029696670011617, 0.6528522500011604, 0.7032024169893702, 0.7526714589912444]",0.038778957998147234,,,,028754,001,2023-10-12_14h09.03.935,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,25.298416791003547,,,028754,001,2023-10-12_14h09.03.935,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,"[-0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887]","[0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.29]","[0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00045974999375175685, 0.050693375000264496, 0.10068699999828823, 0.150500584000838, 0.20040808399789967, 0.25021916699188296, 0.30019395900308155, 0.35094375000335276, 0.40060629199433606]",0.013685833007912152,,,,028754,001,2023-10-12_14h09.03.935,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,,,,,,"[-0.4166666666666667, -0.4166666666666667, -0.4166666666666667]","[0.4166666666666667, 0.4166666666666667, 0.4166666666666667]","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0.00017145799938589334, 0.05124604199954774, 0.1020912079984555]",0.013816125006997027,,,,028754,001,2023-10-12_14h09.03.935,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,34.45536233299936,,,028754,001,2023-10-12_14h09.03.935,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,35.86317479099671,,028754,001,2023-10-12_14h09.03.935,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,028754,001,2023-10-12_14h09.03.935,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,36.7714104159968,028754,001,2023-10-12_14h09.03.935,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,028754,001,2023-10-12_14h09.03.935,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,028754,001,2023-10-12_14h09.03.935,WythoffsHumanExp,2023.1.3,None,
