games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,section_1_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,004816,001,2023-10-12_15h01.22.966,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,004816,001,2023-10-12_15h01.22.966,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,12.473285875006695,,,,,,,,,,,004816,001,2023-10-12_15h01.22.966,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,0.02967112499754876,"[-0.2222222222222222, -0.2222222222222222, -0.2222222222222222, -0.2222222222222222, -0.2222222222222222, -0.2222222222222222, -0.2222222222222222, -0.2222222222222222, -0.2222222222222222, -0.2222222222222222, -0.2222222222222222]","[0.3977777777777778, 0.3977777777777778, 0.3977777777777778, 0.3977777777777778, 0.3977777777777778, 0.3977777777777778, 0.3977777777777778, 0.3977777777777778, 0.3977777777777778, 0.3977777777777778, 0.3977777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017275000573135912, 0.04907020801329054, 0.09743070800323039, 0.14599262500996701, 0.19434716700925492, 0.24264179200690705, 0.2908233750058571, 0.3388077920099022, 0.38681558301323093, 0.4348025420040358, 0.484135333012091]",,,,004816,001,2023-10-12_15h01.22.966,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,21.232448167007533,,,004816,001,2023-10-12_15h01.22.966,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,[],[],[],[],[],[],,,,004816,001,2023-10-12_15h01.22.966,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,,,,,,0.0397468330047559,"[0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.058888888888888886, 0.015555555555555555, -0.057777777777777775, -0.14666666666666667, -0.19666666666666666, -0.22666666666666666, -0.23333333333333334, -0.23333333333333334, -0.23333333333333334, -0.23333333333333334, -0.23333333333333334, -0.24555555555555555, -0.26555555555555554, -0.2866666666666667, -0.31666666666666665, -0.34444444444444444, -0.36444444444444446, -0.37777777777777777, -0.3844444444444444, -0.39555555555555555, -0.3977777777777778, -0.3977777777777778, -0.38666666666666666, -0.36, -0.3333333333333333, -0.30333333333333334, -0.2833333333333333, -0.2733333333333333, -0.27, -0.27111111111111114, -0.27444444444444444, -0.27666666666666667, -0.2788888888888889, -0.2811111111111111, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2811111111111111, -0.2811111111111111, -0.2811111111111111, -0.28, -0.2722222222222222, -0.23777777777777778, -0.2011111111111111, -0.17222222222222222, -0.14555555555555555, -0.12666666666666668, -0.11444444444444445, -0.10888888888888888, -0.10777777777777778, -0.10777777777777778, -0.10777777777777778, -0.10777777777777778, -0.10777777777777778, -0.10777777777777778, -0.10777777777777778, -0.10888888888888888, -0.11, -0.1111111111111111, -0.11777777777777777, -0.16444444444444445, -0.2733333333333333, -0.3511111111111111, -0.3877777777777778, -0.4011111111111111, -0.4088888888888889, -0.41555555555555557, -0.41888888888888887, -0.41888888888888887, -0.41888888888888887, -0.41888888888888887, -0.41888888888888887, -0.41888888888888887, -0.4177777777777778, -0.41444444444444445, -0.4066666666666667, -0.4, -0.3988888888888889, -0.3988888888888889, -0.39444444444444443, -0.38222222222222224, -0.36444444444444446, -0.34444444444444444, -0.3277777777777778, -0.3233333333333333, -0.3233333333333333, -0.32555555555555554, -0.3277777777777778, -0.3288888888888889, -0.3322222222222222, -0.33555555555555555, -0.3377777777777778, -0.3377777777777778, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.34, -0.3333333333333333, -0.31333333333333335, -0.2877777777777778, -0.2688888888888889, -0.26, -0.25333333333333335, -0.25, -0.2477777777777778, -0.24666666666666667, -0.24444444444444444, -0.24333333333333335, -0.24333333333333335]","[-0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.027777777777777776, -0.015555555555555555, 0.023333333333333334, 0.09555555555555556, 0.14888888888888888, 0.18333333333333332, 0.1922222222222222, 0.1922222222222222, 0.1922222222222222, 0.1922222222222222, 0.1922222222222222, 0.19333333333333333, 0.20444444444444446, 0.22666666666666666, 0.26222222222222225, 0.3055555555555556, 0.34, 0.3655555555555556, 0.3788888888888889, 0.39444444444444443, 0.39555555555555555, 0.39222222222222225, 0.37333333333333335, 0.3411111111111111, 0.3277777777777778, 0.32555555555555554, 0.32555555555555554, 0.32555555555555554, 0.32555555555555554, 0.3277777777777778, 0.33111111111111113, 0.3322222222222222, 0.3333333333333333, 0.33444444444444443, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.33555555555555555, 0.32666666666666666, 0.30444444444444446, 0.2877777777777778, 0.2733333333333333, 0.2588888888888889, 0.2511111111111111, 0.24666666666666667, 0.24555555555555555, 0.24444444444444444, 0.24444444444444444, 0.24444444444444444, 0.24444444444444444, 0.24444444444444444, 0.24444444444444444, 0.24444444444444444, 0.24444444444444444, 0.24444444444444444, 0.24444444444444444, 0.24444444444444444, 0.2588888888888889, 0.29888888888888887, 0.3288888888888889, 0.35, 0.36444444444444446, 0.3811111111111111, 0.39444444444444443, 0.40444444444444444, 0.4088888888888889, 0.4088888888888889, 0.4088888888888889, 0.4088888888888889, 0.4077777777777778, 0.4066666666666667, 0.4, 0.3888888888888889, 0.3711111111111111, 0.3477777777777778, 0.3277777777777778, 0.3111111111111111, 0.3, 0.29555555555555557, 0.29333333333333333, 0.2922222222222222, 0.2922222222222222, 0.2911111111111111, 0.29, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28444444444444444, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.27444444444444444, 0.2477777777777778, 0.21222222222222223, 0.18, 0.15444444444444444, 0.13444444444444445, 0.12444444444444444, 0.12, 0.11555555555555555, 0.11222222222222222, 0.11222222222222222, 0.1111111111111111]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017766699602361768, 0.048152250004932284, 0.09600824999506585, 0.1438268329948187, 0.19176883299951442, 0.23982454200449865, 0.2877187080011936, 0.33589283299806993, 0.38368741699378006, 0.43146462499862537, 0.4793499579973286, 0.5271448749990668, 0.5748966249957448, 0.6227754169958644, 0.6705639580031857, 0.7189841249928577, 0.766889499995159, 0.8149016249954002, 0.8623377079929924, 0.9101815829926636, 0.9579995420062914, 1.0060991670034127, 1.0542440419958439, 1.1022907919978024, 1.1508014999999432, 1.1991118750011083, 1.2471268749941373, 1.2952333749999525, 1.3428096669958904, 1.3905639580043498, 1.4387671669974225, 1.4865666249970673, 1.5345410000008997, 1.582515207992401, 1.6305818749970058, 1.6784802500042133, 1.726050708006369, 1.7739405419997638, 1.821746332992916, 1.869443792005768, 1.91720916700433, 1.9646247500058962, 2.012438749996363, 2.0603007080062525, 2.1084077919949777, 2.1567420000064885, 2.2047690420004074, 2.252703666992602, 2.300289042002987, 2.3486215000011725, 2.396894582998357, 2.4449546249961713, 2.49285329200211, 2.5406744579959195, 2.5880179579980904, 2.6366505829937523, 2.684756667003967, 2.7327622919983696, 2.780688625003677, 2.8284367919986835, 2.8762042919988744, 2.9240503329929197, 2.9717168749921257, 3.0195345419924706, 3.067352124999161, 3.1152462080062833, 3.163564917005715, 3.2115452500001993, 3.2595460419979645, 3.3074114579940215, 3.3560482500033686, 3.473457917003543, 3.525499082999886, 3.575282749996404, 3.6262779999960912, 3.678342832994531, 3.7282830420008395, 3.778179041997646, 3.826922624997678, 3.875553125006263, 3.9413729999942007, 3.9902129999973113, 4.039311333006481, 4.088668625001446, 4.137795125003322, 4.187444750001305, 4.236357625006349, 4.294638207997195, 4.34433983299823, 4.393339292000746, 4.464939708006568, 4.516053875006037, 4.566542083004606, 4.6163394169998355, 4.666190582996933, 4.715622749994509, 4.76508462500351, 4.8141208330052905, 4.863001624995377, 4.9116998329991475, 4.960627833002945, 5.009480749999057, 5.058055832996615, 5.106745666998904, 5.155672541994136, 5.204253417003201, 5.253310874992167, 5.30193450000661, 5.350434874999337, 5.398647750000237, 5.446445791996666, 5.4946210000052815, 5.5426193330058595, 5.590570542000933, 5.639459917001659, 5.687834208001732, 5.736319042000105, 5.784903292005765, 5.833270082992385, 5.881286999996519, 5.929559166994295, 5.978071582998382, 6.02633995799988, 6.074419791999389, 6.122580249997554, 6.1707832499960205, 6.218932667004992, 6.266640375004499, 6.314585333006107, 6.362557333006407, 6.410581417003414, 6.458520166997914, 6.506501625000965, 6.554535499992198, 6.602562999993097, 6.651233291995595, 6.6997302499949, 6.748219000000972, 6.796542374999262, 6.844943167001475, 6.893360500005656, 6.941404083001544, 6.989350457995897, 7.037348917001509, 7.085405749996426, 7.133316457999172, 7.181738707993645, 7.229274249999435, 7.300172000002931, 7.349854999993113, 7.398964583000634, 7.469454167003278, 7.520278750002035, 7.570858833001694, 7.620773457994801, 7.670671125000808, 7.720024583002669, 7.769270042001153, 7.8188195419934345, 7.868362708002678, 7.917416249998496, 7.9661292920063715, 8.014834000001429, 8.06354449999344, 8.112291375000495, 8.160939042005339, 8.209983374996227, 8.258248208003351, 8.306561791992863, 8.354800208006054, 8.402897541993298, 8.452253208000911, 8.502653832998476, 8.551321417005965, 8.600017542004935, 8.64892479199625, 8.697921124999993, 8.746558291997644, 8.795254708005814, 8.843880750006065, 8.892430124993552, 8.941594292002264, 8.990347957995255, 9.039479208004195, 9.089705749996938, 9.138360291995923, 9.187309083004948, 9.235941042003105, 9.284258041996509, 9.333385999998427, 9.38240008300636, 9.431579916999908, 9.481269291994977, 9.530383542005438, 9.579077832997427, 9.628123542002868, 9.677255083006457, 9.725779375003185, 9.775055666992557, 9.823947166994913, 9.872937541993451, 9.922226458002115, 9.973159332992509, 10.02391141699627, 10.074496542001725, 10.125844291993417, 10.177125000001979, 10.228697124999599, 10.278092583001126, 10.327207291993545, 10.376393625003402, 10.42485475000285, 10.472951332994853, 10.521044249995612, 10.569287292004446, 10.61779991700314, 10.666278082993813, 10.714383832993917, 10.762245707999682, 10.810387417004677, 10.858562791996519, 10.906845833000261, 10.955687916997704, 11.004153832996963, 11.053075375006301, 11.10165945799963, 11.15012612499413, 11.198804250001558, 11.247314833002747, 11.298707624999224, 11.347155333001865, 11.39507629199943, 11.443011666997336, 11.490911625005538, 11.538637249992462, 11.586612125000102, 11.635588374992949, 11.684294457998476, 11.732699667001725, 11.780313166993437, 11.828784500001348, 11.877216458000476, 11.92523695800628, 11.973067375001847, 12.021118207994732, 12.069381082998007, 12.117611458001193, 12.165519083006075, 12.21358195799985, 12.261920000004466, 12.310796000005212, 12.359666749995085, 12.408630542005994, 12.457149624999147, 12.505986082993331, 12.554593541994109, 12.603363207992516, 12.652860792004503, 12.701653583004372, 12.750516500003869, 12.799250083000516, 12.847634999998263]",,,,004816,001,2023-10-12_15h01.22.966,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,,,,,,,,0.0033241670025745407,"[-0.5577777777777778, -0.5577777777777778, -0.5577777777777778, -0.5577777777777778, -0.5577777777777778, -0.5577777777777778, -0.5522222222222222, -0.48777777777777775, -0.4411111111111111, -0.4177777777777778, -0.4088888888888889, -0.4066666666666667, -0.40444444444444444, -0.4033333333333333, -0.4033333333333333]","[0.13666666666666666, 0.13666666666666666, 0.13666666666666666, 0.13666666666666666, 0.13666666666666666, 0.13666666666666666, 0.14888888888888888, 0.26, 0.3522222222222222, 0.4033333333333333, 0.42333333333333334, 0.43222222222222223, 0.44, 0.4411111111111111, 0.4411111111111111]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017629200010560453, 0.04833979200338945, 0.09622695800499059, 0.14424354200309608, 0.19258279200585093, 0.2419973329961067, 0.3446534579998115, 0.39648083300562575, 0.4476136250013951, 0.4976273329957621, 0.5475193750025937, 0.5973615419934504, 0.6469527080043918, 0.6967024579935241, 0.7452427079988411]",,,,004816,001,2023-10-12_15h01.22.966,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,45.633634124998935,,,004816,001,2023-10-12_15h01.22.966,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,46.4622899590031,,004816,001,2023-10-12_15h01.22.966,WythoffsHumanExp,2023.1.3,None,
