games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,572230,001,2023-10-12_15h05.46.106,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,572230,001,2023-10-12_15h05.46.106,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,17.28252354200231,,,,,,,,572230,001,2023-10-12_15h05.46.106,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,0.01095050000003539,"[0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.07444444444444444, 0.028888888888888888, -0.02666666666666667, -0.08666666666666667, -0.11666666666666667, -0.12222222222222222, -0.12222222222222222, -0.12222222222222222, -0.12222222222222222, -0.12444444444444444, -0.12666666666666668, -0.12666666666666668, -0.12444444444444444, -0.12222222222222222, -0.12111111111111111, -0.12333333333333334, -0.12333333333333334]","[0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.01, 0.042222222222222223, 0.1, 0.18777777777777777, 0.24444444444444444, 0.25555555555555554, 0.25555555555555554, 0.25555555555555554, 0.26, 0.27666666666666667, 0.32, 0.35777777777777775, 0.38666666666666666, 0.4033333333333333, 0.4111111111111111, 0.41444444444444445, 0.41444444444444445]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001717080012895167, 0.04875924999942072, 0.09691854100674391, 0.14475662499899045, 0.19267874999786727, 0.24045908301195595, 0.28816366600221954, 0.3360497500107158, 0.384080375006306, 0.43214870800147764, 0.47984683301183395, 0.5278097499976866, 0.5758368750102818, 0.6235290830081794, 0.6713930000114487, 0.7191766660107533, 0.766983583002002, 0.81491170800291, 0.8628504160005832, 0.9112408330111066, 0.9595245829987107, 1.0075857080082642, 1.055732207998517, 1.1033640000096057, 1.151667083002394, 1.1993508330051554, 1.2472199580079177, 1.2955281660106266, 1.3431771660107188, 1.3911650829977589, 1.439263791005942, 1.4867991659994004, 1.534791124999174, 1.5823762910004007, 1.6304035409993958, 1.6782479579997016, 1.7260293330036802, 1.7735689580003964, 1.8213167080102721, 1.8694498330005445, 1.9179577080067247, 1.9660268330044346, 2.0142359580058837, 2.062172541001928, 2.1102383750112494, 2.1583687079983065, 2.2068121250049444, 2.255298957999912, 2.303411665998283, 2.351563250005711, 2.3997887080040528, 2.447740750008961, 2.4957475410046754, 2.5434434580092784, 2.591635083008441, 2.6399191660020733, 2.6886830410076072, 2.737489375009318, 2.785902250005165, 2.834441915998468, 2.8834016660111956, 2.9313588750083, 2.9792810830113012, 3.0278249160037376, 3.0772801660059486, 3.1256862910086056, 3.1741774160036584, 3.222864125011256, 3.2714878330007195, 3.3200870000000577, 3.3688364999979967, 3.417948750007781, 3.4665358330094023]",,,,,,,
