games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,reccall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,317553,001,2023-10-02_12h49.10.380,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,317553,001,2023-10-02_12h49.10.380,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,16.61061287499615,,,,317553,001,2023-10-02_12h49.10.380,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,317553,001,2023-10-02_12h49.10.380,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,25.044499291994725,,,317553,001,2023-10-02_12h49.10.380,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,317553,001,2023-10-02_12h49.10.380,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,317553,001,2023-10-02_12h49.10.380,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,36.60830312500184,,,317553,001,2023-10-02_12h49.10.380,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,37.304030667000916,,317553,001,2023-10-02_12h49.10.380,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,65.26845350000076,317553,001,2023-10-02_12h49.10.380,WythoffsHumanExp,2023.1.3,None,
