games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,section_1_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,imagine_text.started,section_2_text.started,section_3_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,088892,000,2023-10-16_14h08.28.148,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,088892,000,2023-10-16_14h08.28.148,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,12.839337290992262,,,,,,,,,,,,088892,000,2023-10-16_14h08.28.148,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0.021541416994296014,"[-0.4088888888888889, -0.4088888888888889, -0.4088888888888889, -0.4088888888888889, -0.4088888888888889, -0.4088888888888889, -0.4088888888888889, -0.4088888888888889, -0.4088888888888889]","[0.41333333333333333, 0.41333333333333333, 0.41333333333333333, 0.41333333333333333, 0.41333333333333333, 0.41333333333333333, 0.41333333333333333, 0.41333333333333333, 0.41333333333333333]","[0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016970798606052995, 0.049648291984340176, 0.09888274999684654, 0.14875212498009205, 0.19787466697744094, 0.2464678329997696, 0.294830999977421, 0.3448270419903565, 0.39489795797271654]",22.91841254098108,,,,088892,000,2023-10-16_14h08.28.148,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0.04801541700726375,"[0.056666666666666664, 0.056666666666666664, 0.056666666666666664, 0.056666666666666664, 0.056666666666666664, 0.056666666666666664, 0.056666666666666664, 0.056666666666666664, 0.056666666666666664, 0.056666666666666664, 0.056666666666666664, 0.056666666666666664, 0.1411111111111111, 0.23222222222222222, 0.26222222222222225, 0.27111111111111114, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.27, 0.24333333333333335, 0.19, 0.14666666666666667, 0.10777777777777778, 0.028888888888888888, -0.05333333333333334, -0.10111111111111111, -0.11888888888888889, -0.13, -0.15, -0.16333333333333333, -0.16666666666666666, -0.16777777777777778, -0.1688888888888889, -0.1688888888888889, -0.1688888888888889, -0.1688888888888889, -0.1688888888888889, -0.1688888888888889, -0.1688888888888889]","[0.012222222222222223, 0.012222222222222223, 0.012222222222222223, 0.012222222222222223, 0.012222222222222223, 0.012222222222222223, 0.012222222222222223, 0.012222222222222223, 0.012222222222222223, 0.012222222222222223, 0.012222222222222223, 0.012222222222222223, 0.14777777777777779, 0.2822222222222222, 0.33111111111111113, 0.3433333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35555555555555557, 0.36333333333333334, 0.37444444444444447, 0.38222222222222224, 0.39111111111111113, 0.4066666666666667, 0.4177777777777778, 0.4266666666666667, 0.42777777777777776, 0.42777777777777776, 0.42777777777777776, 0.4266666666666667, 0.42333333333333334, 0.42, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.42, 0.42]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.000173041014932096, 0.04925116599770263, 0.09802308300277218, 0.14707125001586974, 0.1965963330003433, 0.24886308299028315, 0.30047320801531896, 0.3527670410112478, 0.40498783299699426, 0.4566938749921974, 0.5094442080007866, 0.5624317080073524, 0.6144074159965385, 0.6655252079945058, 0.7155921249941457, 0.7655312080169097, 0.8147534999880008, 0.8638758329907432, 0.9134115829947405, 0.9621876660094131, 1.0115945829893462, 1.0613277910160832, 1.1112148750107735, 1.1609878329909407, 1.211293458007276, 1.261198416003026, 1.3107812080124859, 1.3602403750119265, 1.4090424999885727, 1.4580754580092616, 1.5066757499880623, 1.5556787909881677, 1.6044300830108114, 1.6532198330096435, 1.702882999990834, 1.751583125005709, 1.8006855410058051, 1.8503037079935893, 1.899287957989145, 1.9483607500151265, 1.9975693750020582, 2.046783708006842, 2.0966621249972377, 2.146082291001221, 2.1959045410039835, 2.245541750016855, 2.2952388749981765, 2.3449140829907265, 2.394647333014291, 2.4446463329950348, 2.4945411660009995, 2.544290457997704, 2.593860791006591, 2.6440294579952024, 2.6942427500034682, 2.7454489580122754, 2.7959085830079857, 2.845900000014808, 2.8961968749936204, 2.946591374988202, 2.996092999994289, 3.0463459579914343, 3.0962404159945436, 3.146576791012194, 3.1968003750080243, 3.2468841660011094, 3.296156124997651, 3.3460253750090487, 3.3953366659989115, 3.445529415999772, 3.4954881250159815, 3.5454781659937, 3.596042832999956, 3.6459761660080403, 3.6960440830152947]",36.38212808300159,,,,088892,000,2023-10-16_14h08.28.148,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,088892,000,2023-10-16_14h08.28.148,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.186996957985684,,,088892,000,2023-10-16_14h08.28.148,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.45608762500342,,088892,000,2023-10-16_14h08.28.148,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.26018304098397,088892,000,2023-10-16_14h08.28.148,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,0.011419582995586097,"[-0.38222222222222224, -0.38222222222222224, -0.38222222222222224, -0.38222222222222224, -0.38333333333333336, -0.38555555555555554, -0.3877777777777778, -0.3888888888888889, -0.3888888888888889, -0.38666666666666666, -0.37666666666666665, -0.3488888888888889, -0.3433333333333333, -0.3433333333333333]","[0.33111111111111113, 0.3322222222222222, 0.33555555555555555, 0.3422222222222222, 0.3477777777777778, 0.35555555555555557, 0.36333333333333334, 0.36777777777777776, 0.37, 0.37, 0.3655555555555556, 0.35444444444444445, 0.3522222222222222, 0.35333333333333333]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003892919921781868, 0.05136420897906646, 0.10137808398576453, 0.15104499997687526, 0.2003880419943016, 0.24978916699183173, 0.29928662499878556, 0.3485753749846481, 0.39773233397863805, 0.448102291993564, 0.49784554197685793, 0.5475532499840483, 0.5977659589843825, 0.6483872089884244]",110.36167812498752,,,,,,,,,,
