section_1_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,276810,001,2023-09-29_14h43.36.247,WythoffsHumanExp,2023.1.3,None,
,276810,001,2023-09-29_14h43.36.247,WythoffsHumanExp,2023.1.3,None,
12.45178095799929,,,,,,,
