practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,315369,001,2023-10-27_15h22.36.190,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,315369,001,2023-10-27_15h22.36.190,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,11.464653834002092,,,,,,,,,,315369,001,2023-10-27_15h22.36.190,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,0.02020933300082106,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.0011111111111111111, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, -0.0077777777777777776, -0.15555555555555556, -0.31444444444444447, -0.38222222222222224, -0.4011111111111111, -0.4022222222222222, -0.4022222222222222, -0.4033333333333333, -0.4033333333333333]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0033333333333333335, 0.08, 0.17666666666666667, 0.2088888888888889, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.26555555555555554, 0.3488888888888889, 0.39222222222222225, 0.41, 0.41555555555555557, 0.41555555555555557, 0.41555555555555557, 0.41555555555555557]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017500000103609636, 0.048721541999839246, 0.09727704199758591, 0.1456880839978112, 0.1943343749953783, 0.2428317089943448, 0.29209008399629965, 0.3411474169988651, 0.39054966699768556, 0.4400709999972605, 0.4889049999983399, 0.5375665419996949, 0.5865467920011724, 0.6359927499943296, 0.6857973750011297, 0.7355274169967743, 0.7855671669967705, 0.8363943340009428, 0.8863211669959128, 0.9359604169949307, 0.9851803749988903, 1.0353423749984358, 1.0847318339947378]",44.61846220900043,48.15576212500309,,,,,,,
