games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,547107,001,2023-09-29_15h12.05.231,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,547107,001,2023-09-29_15h12.05.231,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,13.418212124997808,,547107,001,2023-09-29_15h12.05.231,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,547107,001,2023-09-29_15h12.05.231,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,547107,001,2023-09-29_15h12.05.231,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,23.245448916000896,547107,001,2023-09-29_15h12.05.231,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,547107,001,2023-09-29_15h12.05.231,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,547107,001,2023-09-29_15h12.05.231,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,547107,001,2023-09-29_15h12.05.231,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,49.23801041600382,,,,,,,
