games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,board_outline.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,458576,001,2023-09-26_16h38.26.381,WythoffsHumanExp,2023.1.3,None,
,,,,10.07004349998897,458576,001,2023-09-26_16h38.26.381,WythoffsHumanExp,2023.1.3,None,
