practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,double_click_4.thisRepN,double_click_4.thisTrialN,double_click_4.thisN,double_click_4.thisIndex,new_games.thisRepN,new_games.thisTrialN,new_games.thisN,new_games.thisIndex,turns_4.thisRepN,turns_4.thisTrialN,turns_4.thisN,turns_4.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,blink_text.started,section_2_text.started,section_3_text.started,euclid_text.started,section_4_text.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2024-01-16_11h07.52.815,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2024-01-16_11h07.52.815,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.92719883398968,,,,,,,,,,,,,,,,1,2,2024-01-16_11h07.52.815,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005650829989463091,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.008888888888888889, -0.1388888888888889, -0.2822222222222222, -0.3288888888888889, -0.33444444444444443, -0.33444444444444443, -0.33444444444444443, -0.33444444444444443, -0.3488888888888889, -0.4222222222222222, -0.44666666666666666, -0.44666666666666666, -0.44666666666666666, -0.44666666666666666, -0.44333333333333336, -0.4388888888888889, -0.43222222222222223, -0.42777777777777776, -0.4255555555555556, -0.4255555555555556]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0077777777777777776, 0.08222222222222222, 0.15222222222222223, 0.20666666666666667, 0.22555555555555556, 0.22555555555555556, 0.22555555555555556, 0.24666666666666667, 0.32, 0.4, 0.43555555555555553, 0.44555555555555554, 0.44666666666666666, 0.44666666666666666, 0.4411111111111111, 0.42777777777777776, 0.4122222222222222, 0.4033333333333333, 0.4011111111111111, 0.4022222222222222]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018116598948836327, 0.04973970798891969, 0.09801512499689125, 0.14617912500398234, 0.19442483299644664, 0.2429122909961734, 0.2911222910042852, 0.3404512499982957, 0.3899976249958854, 0.4392502910050098, 0.48836374998791143, 0.5368152500013821, 0.5852315409865696, 0.633608332980657, 0.682587124989368, 0.7316674159956165, 0.7806256659969222, 0.829430040990701, 0.8786967500054743, 0.9275126660068054, 0.9761244159890339, 1.0257265830005053, 1.0754971249843948, 1.123999500006903, 1.1728449579968583, 1.222836125001777, 1.27179212498595]",180.87164720898727,164.88077408398385,,,,,,,1,2,2024-01-16_11h07.52.815,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005869590095244348,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.0011111111111111111, -0.0033333333333333335, -0.0033333333333333335, -0.0033333333333333335, -0.0033333333333333335, -0.05333333333333334, -0.2677777777777778, -0.31222222222222223, -0.31222222222222223, -0.31222222222222223, -0.31222222222222223, -0.2966666666666667, -0.2911111111111111, -0.31222222222222223, -0.3411111111111111, -0.35333333333333333, -0.36333333333333334, -0.37555555555555553, -0.39, -0.4, -0.4077777777777778, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04111111111111111, 0.09555555555555556, 0.13777777777777778, 0.14444444444444443, 0.14444444444444443, 0.14444444444444443, 0.14444444444444443, 0.17666666666666667, 0.33111111111111113, 0.36, 0.36, 0.36, 0.36, 0.38333333333333336, 0.41444444444444445, 0.4255555555555556, 0.4222222222222222, 0.4211111111111111, 0.4166666666666667, 0.4122222222222222, 0.41, 0.4111111111111111, 0.41444444444444445, 0.41555555555555557, 0.41555555555555557, 0.41555555555555557]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018158400780521333, 0.04942095899605192, 0.09773091701208614, 0.1462169169972185, 0.19453479201183654, 0.24237083402113058, 0.29029483400518075, 0.3385517919959966, 0.38645320900832303, 0.43492550001246855, 0.4831979169975966, 0.5313567920238711, 0.5795696670247708, 0.627524417010136, 0.6756171669985633, 0.7236214590084273, 0.7721305419981945, 0.8206059590156656, 0.8691289170237724, 0.9169022090209182, 0.9655107090075035, 1.01457508400199, 1.0636010419984814, 1.112458042014623, 1.1607594590168446, 1.2086686250113416, 1.256880041997647, 1.3056989170145243, 1.3545703340205364, 1.4037009169987869, 1.4522161670029163, 1.500275917002, 1.5484204170061275, 1.5969772500102408, 1.6456748750060797, 1.6946930840204004, 1.743814667017432, 1.7924554590135813, 1.8412582500022836, 1.8900256250053644, 1.9386949170148, 1.9879817500186618, 2.03664150001714, 2.0856361250043847, 2.1345969590183813, 2.1841608750110026, 2.232842792000156]",197.77073783398373,,,,,,,,1,2,2024-01-16_11h07.52.815,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005986249889247119,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0033333333333333335, -0.0033333333333333335, -0.0033333333333333335, -0.005555555555555556, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.08444444444444445, -0.2388888888888889, -0.32, -0.33, -0.33, -0.33, -0.3322222222222222, -0.3522222222222222, -0.3711111111111111, -0.3877777777777778, -0.4, -0.41, -0.41555555555555557, -0.41555555555555557, -0.41555555555555557]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06444444444444444, 0.20666666666666667, 0.3111111111111111, 0.3377777777777778, 0.3411111111111111, 0.3411111111111111, 0.3411111111111111, 0.3411111111111111, 0.4111111111111111, 0.49777777777777776, 0.5, 0.5, 0.5, 0.5, 0.4811111111111111, 0.44555555555555554, 0.42444444444444446, 0.4122222222222222, 0.40555555555555556, 0.40555555555555556, 0.40555555555555556, 0.40444444444444444, 0.40444444444444444]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018508400535210967, 0.049454292020527646, 0.09758762500132434, 0.14566825001384132, 0.19371900000260212, 0.2417741249955725, 0.2901796250080224, 0.33813358400948346, 0.3868020420195535, 0.43497654201928526, 0.48377483402146026, 0.5325274170027114, 0.5819671670033131, 0.6313058340165298, 0.6802088340045884, 0.7284941670077387, 0.7768269590160344, 0.8250885420129634, 0.8739203750155866, 0.9230514999944717, 0.9718806669989135, 1.0212019169994164, 1.0694945419963915, 1.11801087501226, 1.1667725419974886, 1.2153442499984521, 1.26423904200783, 1.313596084015444, 1.3623636249976698, 1.4110412090085447, 1.459531333995983, 1.5082830839965027, 1.5575270419940352, 1.6059708340035286]",213.01029320899397,,,,,,,,1,2,2024-01-16_11h07.52.815,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005866250139661133,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0077777777777777776, 0.013333333333333334, 0.012222222222222223, 0.0033333333333333335, 0.0033333333333333335, 0.0, -0.05555555555555555, -0.21555555555555556, -0.2788888888888889, -0.2788888888888889, -0.2788888888888889, -0.2788888888888889, -0.2922222222222222, -0.3322222222222222, -0.35555555555555557, -0.37333333333333335, -0.38, -0.3811111111111111, -0.39111111111111113, -0.4088888888888889, -0.4222222222222222, -0.42444444444444446, -0.42444444444444446, -0.42333333333333334, -0.42333333333333334]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07111111111111111, 0.14444444444444443, 0.18333333333333332, 0.18777777777777777, 0.18777777777777777, 0.18, 0.16666666666666666, 0.19111111111111112, 0.21222222222222223, 0.21222222222222223, 0.21222222222222223, 0.21222222222222223, 0.29555555555555557, 0.4077777777777778, 0.44333333333333336, 0.4533333333333333, 0.45222222222222225, 0.45111111111111113, 0.44333333333333336, 0.43, 0.4177777777777778, 0.41444444444444445, 0.41444444444444445, 0.4122222222222222, 0.4122222222222222]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001871249987743795, 0.04987566597992554, 0.09824108297470957, 0.14615562499966472, 0.19395737498416565, 0.24234437497216277, 0.29100124997785315, 0.33978795798611827, 0.3883303329930641, 0.436911415978102, 0.48513699998147786, 0.5333913749782369, 0.5828311249788385, 0.6319016659981571, 0.680946665990632, 0.7299694999819621, 0.7787524159939494, 0.8274863749975339, 0.876524374994915, 0.9254508329904638, 0.9740392079984304, 1.0220107909990475, 1.070043915999122, 1.117909332999261, 1.16652620799141, 1.2154822499724105, 1.2646370829897933, 1.3134236249898095, 1.3623253330006264, 1.4115107499819715, 1.4609039159840904, 1.5102760829904582, 1.5593379579950124, 1.6087733329914045, 1.6577669999969658, 1.7064016249787528, 1.756283832975896, 1.8053090829926077]",229.22403995899367,,,,,,,,1,2,2024-01-16_11h07.52.815,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031585709017235786,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0033333333333333335, -0.12111111111111111, -0.3844444444444444, -0.46444444444444444, -0.4711111111111111, -0.4711111111111111, -0.4711111111111111, -0.4711111111111111, -0.46, -0.4222222222222222, -0.4066666666666667, -0.4066666666666667, -0.4066666666666667, -0.40555555555555556, -0.40444444444444444, -0.40444444444444444, -0.40444444444444444, -0.40444444444444444]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0022222222222222222, 0.0811111111111111, 0.23444444444444446, 0.2811111111111111, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.2833333333333333, 0.3466666666666667, 0.43666666666666665, 0.44666666666666666, 0.44, 0.43666666666666665, 0.43222222222222223, 0.43, 0.4288888888888889, 0.4266666666666667, 0.4266666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001940829970408231, 0.04873929201858118, 0.09690070801298134, 0.14548716699937358, 0.19365354199544527, 0.24206037499243394, 0.29003624999313615, 0.33821258301031776, 0.3866027500189375, 0.43498291700962, 0.4833761250192765, 0.5324472920037806, 0.5814475000079256, 0.630495042016264, 0.6794116249948274, 0.7284971670014784, 0.7771967500157189, 0.8255741670145653, 0.8742836250166874, 0.9230040830152575, 0.9716843329952098, 1.0209727080073208, 1.0703893330064602, 1.1200657919980586, 1.1691611249989364, 1.2181933330139145, 1.2669712500064634, 1.3155450000194833, 1.3650617919920478, 1.413177208014531]",238.70139470900176,,,,,,,,1,2,2024-01-16_11h07.52.815,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005497919919434935,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.006666666666666667, -0.04111111111111111, -0.09888888888888889, -0.16, -0.2411111111111111, -0.31555555555555553, -0.33, -0.33, -0.33, -0.33, -0.36, -0.4177777777777778, -0.43, -0.43, -0.43, -0.43, -0.43, -0.43, -0.43, -0.4288888888888889, -0.4288888888888889, -0.42777777777777776, -0.4255555555555556, -0.4255555555555556, -0.4255555555555556]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0033333333333333335, 0.013333333333333334, 0.03, 0.052222222222222225, 0.07444444444444444, 0.07777777777777778, 0.07666666666666666, 0.07666666666666666, 0.07666666666666666, 0.07666666666666666, 0.18888888888888888, 0.3422222222222222, 0.39666666666666667, 0.39666666666666667, 0.39666666666666667, 0.39666666666666667, 0.39666666666666667, 0.39666666666666667, 0.3877777777777778, 0.37222222222222223, 0.3655555555555556, 0.3622222222222222, 0.35888888888888887, 0.35777777777777775, 0.35777777777777775]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00019795799744315445, 0.04953720801859163, 0.09758554201107472, 0.1458301670209039, 0.19402316701598465, 0.2419305829971563, 0.2899165830167476, 0.3382720000226982, 0.3865612500230782, 0.43502545802039094, 0.4834749170113355, 0.5319489999965299, 0.5808503750013188, 0.6301979169948027, 0.6791849580185954, 0.7281866669945884, 0.7779286669974681, 0.8277816670015454, 0.8762532920227386, 0.9245654580008704, 0.9728974580066279, 1.0217201250197832, 1.0709032920130994, 1.1202223330037668, 1.1685125830117613, 1.216712000023108, 1.2652671670075506, 1.3139641669986304, 1.363094958011061, 1.4118822920136154, 1.460853833006695, 1.5097454170172568, 1.5588137920130976, 1.6084712920128368, 1.6577369169972371, 1.7080384170112666, 1.7573021250136662]",252.09309183398727,,,,,,,,1,2,2024-01-16_11h07.52.815,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006522919866256416,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.09888888888888889, -0.16111111111111112, -0.16111111111111112, -0.16111111111111112, -0.15777777777777777, -0.15888888888888889, -0.23555555555555555, -0.29888888888888887, -0.29888888888888887, -0.29888888888888887, -0.29888888888888887, -0.30666666666666664, -0.36, -0.39444444444444443, -0.4022222222222222, -0.4033333333333333, -0.4066666666666667, -0.41, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011111111111111111, 0.16444444444444445, 0.23444444444444446, 0.23444444444444446, 0.23444444444444446, 0.2288888888888889, 0.23555555555555555, 0.37555555555555553, 0.45444444444444443, 0.45444444444444443, 0.45444444444444443, 0.45444444444444443, 0.4533333333333333, 0.4222222222222222, 0.40444444444444444, 0.4033333333333333, 0.4033333333333333, 0.4011111111111111, 0.4011111111111111, 0.4011111111111111, 0.4011111111111111, 0.4011111111111111]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001962080132216215, 0.049890374997630715, 0.0979190829966683, 0.1457248330116272, 0.19409150001592934, 0.24248691700631753, 0.2905452080012765, 0.338485792017309, 0.3870609580189921, 0.43550233301357366, 0.4837690830172505, 0.531959582993295, 0.5797449170204345, 0.6281175000185613, 0.676810042001307, 0.7257076670066454, 0.7740812920092139, 0.8226891249942128, 0.8717284169979393, 0.9206159170134924, 0.9686121249978896, 1.0165710000146646, 1.0650901250191964, 1.1144444170058705, 1.1632733330188785, 1.212946000014199, 1.2617693330103066, 1.3105657919950318, 1.358726917009335, 1.4077824169944506, 1.4572214999934658, 1.506176458002301, 1.555094375013141, 1.6038635830045678, 1.652693417010596, 1.702025083010085, 1.7511470830067992, 1.799683457997162, 1.8488480829983018, 1.8972887080162764]",266.6874261669873,,,,,,,,1,2,2024-01-16_11h07.52.815,WythoffsHumanExp,2023.1.3,None,
