practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,recall_text.started,section_2_text.started,section_3_text.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885422,001,2023-10-30_14h32.46.506,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885422,001,2023-10-30_14h32.46.506,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.708948417006468,,,,,,,,,,,,,,885422,001,2023-10-30_14h32.46.506,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016632209000817966,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03222222222222222, -0.09666666666666666, -0.18444444444444444, -0.2633333333333333, -0.31777777777777777, -0.3488888888888889, -0.3655555555555556, -0.3788888888888889, -0.3877777777777778, -0.39555555555555555, -0.4033333333333333, -0.4066666666666667, -0.4088888888888889, -0.4088888888888889]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015555555555555555, 0.051111111111111114, 0.09, 0.11, 0.13, 0.1511111111111111, 0.16444444444444445, 0.17555555555555555, 0.18666666666666668, 0.19777777777777777, 0.20777777777777778, 0.21777777777777776, 0.22111111111111112, 0.22111111111111112]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018429099873173982, 0.04906308299541706, 0.09873037500074133, 0.14838808299828088, 0.19792670799506595, 0.24739266599499388, 0.2969891659959103, 0.34703829100180883, 0.3968833330000052, 0.44667562499671476, 0.49646916599886026, 0.5465890830018907, 0.5964872909971746, 0.6467812909977511, 0.695824750000611, 0.7446086659983848, 0.7937117499968736, 0.8449402909973287, 0.8971268749955925, 0.9497492910013534]",36.471103292002226,37.457297750006546,,,,,885422,001,2023-10-30_14h32.46.506,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0.0333699160037213,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.028888888888888888, -0.09555555555555556, -0.17777777777777778, -0.2511111111111111, -0.3022222222222222, -0.3333333333333333, -0.3488888888888889, -0.3522222222222222, -0.35333333333333333, -0.36666666666666664, -0.3888888888888889, -0.40444444444444444, -0.4166666666666667, -0.41888888888888887, -0.41888888888888887]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021111111111111112, 0.08555555555555555, 0.17555555555555555, 0.24888888888888888, 0.30333333333333334, 0.33, 0.34, 0.3422222222222222, 0.34444444444444444, 0.35, 0.35888888888888887, 0.37222222222222223, 0.38555555555555554, 0.39, 0.39]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017374999879393727, 0.04884645899437601, 0.09686525000142865, 0.14463837500079535, 0.19308620900119422, 0.24213762499857694, 0.2906682089960668, 0.3394824169954518, 0.3881426250009099, 0.4369552919961279, 0.4855953340011183, 0.5341855839942582, 0.5829736669984413, 0.6316479999950388, 0.6806322919946979, 0.729488749995653, 0.7777434589952463, 0.8263229169970145, 0.8747624999959953, 0.9239890419994481, 0.9720433749971562]",48.589644459003466,,,,,,885422,001,2023-10-30_14h32.46.506,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0.04434054200100945,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0033333333333333335, -0.04, -0.12222222222222222, -0.2111111111111111, -0.27111111111111114, -0.31666666666666665, -0.33444444444444443, -0.3433333333333333, -0.35777777777777775, -0.37555555555555553, -0.38666666666666666, -0.39222222222222225, -0.3933333333333333, -0.39444444444444443]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0022222222222222222, 0.043333333333333335, 0.14888888888888888, 0.27111111111111114, 0.35, 0.3933333333333333, 0.4077777777777778, 0.4111111111111111, 0.4166666666666667, 0.4222222222222222, 0.4255555555555556, 0.42444444444444446, 0.4211111111111111, 0.42]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001778330042725429, 0.048590250000415836, 0.09624070800055051, 0.14374504199804505, 0.19151079199946253, 0.2390770420024637, 0.2871349580018432, 0.33562370800063945, 0.38429029200051446, 0.43334799999865936, 0.4818870000017341, 0.5315278330017463, 0.5804035420005675, 0.6293829580026795, 0.6779904580034781, 0.7264445000037085, 0.7747854580011335, 0.8237625420006225, 0.8723820000013802, 0.9215882499993313, 0.9707702919986332, 1.0206187919975491, 1.068986792000942]",57.66661333400407,,,,,,885422,001,2023-10-30_14h32.46.506,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.61384025000007,,,,885422,001,2023-10-30_14h32.46.506,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885422,001,2023-10-30_14h32.46.506,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.47137916700012,,,885422,001,2023-10-30_14h32.46.506,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.61551741700532,,885422,001,2023-10-30_14h32.46.506,WythoffsHumanExp,2023.1.3,None,
