games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,083819,001,2023-10-12_15h07.10.909,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,083819,001,2023-10-12_15h07.10.909,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,9.815074750003987,,,,,,,,083819,001,2023-10-12_15h07.10.909,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,[],[],[],[],[],[],,083819,001,2023-10-12_15h07.10.909,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,"[-0.38666666666666666, -0.38666666666666666, -0.38333333333333336, -0.38222222222222224, -0.38666666666666666, -0.39555555555555555, -0.4011111111111111, -0.4011111111111111, -0.4011111111111111]","[0.3688888888888889, 0.3688888888888889, 0.38222222222222224, 0.39222222222222225, 0.39444444444444443, 0.39666666666666667, 0.3988888888888889, 0.3988888888888889, 0.3988888888888889]","[0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00038958300137892365, 0.050959167012479156, 0.11011720800888725, 0.16181070799939334, 0.2128987500036601, 0.2630891670123674, 0.31209479201061185, 0.36149104200012516, 0.41082762500445824]",0.04122266700142063,,,,,,,
