trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,countdown_text.started,piece.started,text.started,moving_piece.started,npc.started,moving_npc.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.117792708973866,11.158534999995027,11.158534999995027,17.06746741698589,18.105444375018124,19.350586334010586,070456,001,2023-09-22_16h35.39.417,WythoffsHumanExp,2023.1.3,None,
,,,,,20.3439374169684,20.3439374169684,21.823395874991547,,,,,,,,,
