practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,section_0_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,155591,001,2024-01-09_12h35.11.151,WythoffsHumanExp,2023.1.3,None,
,,,,,155591,001,2024-01-09_12h35.11.151,WythoffsHumanExp,2023.1.3,None,
,,,,11.948713375008083,155591,001,2024-01-09_12h35.11.151,WythoffsHumanExp,2023.1.3,None,
