games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,869859,001,2023-10-06_16h22.34.440,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,869859,001,2023-10-06_16h22.34.440,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,14.078668084002857,,,,,,,,,869859,001,2023-10-06_16h22.34.440,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,[],[],[],[],[],[],,,869859,001,2023-10-06_16h22.34.440,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,"[0.17888888888888888, 0.17888888888888888, 0.17888888888888888, 0.17888888888888888, 0.17888888888888888, 0.17888888888888888, 0.17888888888888888, 0.17888888888888888, 0.17888888888888888, 0.17888888888888888, 0.17888888888888888, 0.17888888888888888, 0.17888888888888888, 0.17888888888888888, 0.17888888888888888, 0.17888888888888888, 0.17888888888888888, 0.17888888888888888, 0.17888888888888888, 0.17444444444444446, 0.09666666666666666, -0.07444444444444444, -0.27, -0.32, -0.32, -0.32, -0.32, -0.32, -0.35444444444444445, -0.39666666666666667, -0.41333333333333333, -0.41555555555555557, -0.41555555555555557]","[-0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0044444444444444444, -0.0033333333333333335, 0.044444444444444446, 0.19777777777777777, 0.35333333333333333, 0.38222222222222224, 0.38222222222222224, 0.38222222222222224, 0.38222222222222224, 0.38222222222222224, 0.3877777777777778, 0.4011111111111111, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016983300156425685, 0.049876458000653656, 0.09924450000107754, 0.14798187500127824, 0.1973552080016816, 0.24664137500076322, 0.29599837500063586, 0.3453817080007866, 0.3938246670004446, 0.4425071250007022, 0.49077158300133306, 0.5390127919999941, 0.587257082999713, 0.6356811670011666, 0.6844917920025182, 0.7327407080010744, 0.7811293750019104, 0.8301850000025297, 0.880428500000562, 0.930534125000122, 0.9810720830028004, 1.0319005000019388, 1.0820608750000247, 1.1316563750006026, 1.1809971670008963, 1.2305396670017217, 1.280390375002753, 1.3308497079997323, 1.3823393750026298, 1.4323733330020332, 1.482309917002567, 1.5320461670016812, 1.581990250000672]",0.04586987499715178,,869859,001,2023-10-06_16h22.34.440,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,23.760147334000067,,,,,,,
