trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,countdown_text.started,npc.started,moving_npc.started,piece.started,text.started,moving_piece.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,7.258446209016256,10.312842166982591,11.550436959019862,,,,659848,001,2023-09-22_16h27.53.423,WythoffsHumanExp,2023.1.3,59.98396904698604,
,,,,12.537131124990992,,,15.544600417022593,15.544600417022593,18.453680792008527,,,,,,,
