games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,board_outline.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,494268,001,2023-09-26_16h32.29.981,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,11.099722583021503,494268,001,2023-09-26_16h32.29.981,WythoffsHumanExp,2023.1.3,None,
