games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,board_outline.started,box_1.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,469851,001,2023-09-27_12h59.44.176,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,10.630540125013795,10.630540125013795,469851,001,2023-09-27_12h59.44.176,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,469851,001,2023-09-27_12h59.44.176,WythoffsHumanExp,2023.1.3,None,
