trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,countdown_text.started,blue_piece.started,red_piece.started,npc.started,moving_npc.started,piece.started,text.started,moving_piece.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,9.014742000028491,9.014742000028491,9.014742000028491,12.0190807080362,13.272884875012096,,,,837834,001,2023-09-25_10h57.15.637,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,36.15713245799998,37.38599212502595,14.284503667033277,14.284503667033277,35.12855070800288,837834,001,2023-09-25_10h57.15.637,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,38.39812295802403,38.39812295802403,38.910180707986,,,,,,,
