games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,825071,001,2023-10-12_13h20.12.661,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,825071,001,2023-10-12_13h20.12.661,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,13.239008167001884,,,,,,,,,,,825071,001,2023-10-12_13h20.12.661,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,[],[],[],[],[],[],,,,,825071,001,2023-10-12_13h20.12.661,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,,,,,"[-0.4166666666666667, -0.4166666666666667, -0.4166666666666667, -0.4166666666666667, -0.4166666666666667, -0.4166666666666667, -0.4166666666666667, -0.4166666666666667, -0.4166666666666667, -0.4166666666666667, -0.4166666666666667, -0.4166666666666667, -0.4166666666666667]","[0.4077777777777778, 0.4077777777777778, 0.4077777777777778, 0.4077777777777778, 0.4077777777777778, 0.4077777777777778, 0.4077777777777778, 0.4077777777777778, 0.4077777777777778, 0.4077777777777778, 0.4077777777777778, 0.4077777777777778, 0.4077777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017483301053289324, 0.049872083007358015, 0.0994891670125071, 0.1494643750047544, 0.19881595800688956, 0.2485016670107143, 0.2980701670021517, 0.3477185830124654, 0.3976171670074109, 0.4475973330117995, 0.4983192080107983, 0.5486099580011796, 0.5991107080044458]",0.04915241700655315,,,,825071,001,2023-10-12_13h20.12.661,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,21.80433220899431,,,825071,001,2023-10-12_13h20.12.661,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,"[-0.42, -0.42, -0.42, -0.42, -0.42, -0.42, -0.42, -0.42, -0.42, -0.42, -0.42, -0.42, -0.42, -0.42, -0.42]","[0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001744170003803447, 0.0491355419944739, 0.09821216699492652, 0.14721012499649078, 0.19629899998835754, 0.24523416699958034, 0.29424483398906887, 0.34371687499515247, 0.39296645899594296, 0.44218208399252035, 0.49200312499306165, 0.5419120419974206, 0.5933599169948138, 0.644492084000376, 0.694192208989989]",0.034853832999942824,,,,825071,001,2023-10-12_13h20.12.661,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,28.49131512499298,,,825071,001,2023-10-12_13h20.12.661,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,29.311348959003226,,825071,001,2023-10-12_13h20.12.661,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,825071,001,2023-10-12_13h20.12.661,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,30.21560291700007,825071,001,2023-10-12_13h20.12.661,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,825071,001,2023-10-12_13h20.12.661,WythoffsHumanExp,2023.1.3,None,
