games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,179190,001,2023-10-03_11h24.54.733,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,179190,001,2023-10-03_11h24.54.733,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,11.791374749998795,179190,001,2023-10-03_11h24.54.733,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,179190,001,2023-10-03_11h24.54.733,WythoffsHumanExp,2023.1.3,None,
