games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,reccall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,305062,001,2023-10-02_12h46.11.357,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,305062,001,2023-10-02_12h46.11.357,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,13.952882666999358,,,,305062,001,2023-10-02_12h46.11.357,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,305062,001,2023-10-02_12h46.11.357,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,54.25149545900058,,,305062,001,2023-10-02_12h46.11.357,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,305062,001,2023-10-02_12h46.11.357,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,61.16136795899365,,,305062,001,2023-10-02_12h46.11.357,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,64.74356983399775,,305062,001,2023-10-02_12h46.11.357,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,85.3719030420034,305062,001,2023-10-02_12h46.11.357,WythoffsHumanExp,2023.1.3,None,
