games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,431241,001,2023-10-05_13h39.36.889,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,431241,001,2023-10-05_13h39.36.889,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,16.06243366698618,,,,431241,001,2023-10-05_13h39.36.889,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,431241,001,2023-10-05_13h39.36.889,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,431241,001,2023-10-05_13h39.36.889,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,2,0,2,0,,,,,431241,001,2023-10-05_13h39.36.889,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,66.86643441699562,,,431241,001,2023-10-05_13h39.36.889,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,431241,001,2023-10-05_13h39.36.889,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,431241,001,2023-10-05_13h39.36.889,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,,,431241,001,2023-10-05_13h39.36.889,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,112.93086229200708,,,431241,001,2023-10-05_13h39.36.889,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,,,431241,001,2023-10-05_13h39.36.889,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,,,431241,001,2023-10-05_13h39.36.889,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,2,0,2,0,,,,,431241,001,2023-10-05_13h39.36.889,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,3,0,3,0,,,,,431241,001,2023-10-05_13h39.36.889,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,4,0,4,0,,,,,431241,001,2023-10-05_13h39.36.889,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,5,0,5,0,,,,,431241,001,2023-10-05_13h39.36.889,WythoffsHumanExp,2023.1.3,None,
