board_outline.started,box_1.started,text_1.started,arrow.started,box_2.started,text_2.started,left_arrow.started,up_arrow.started,up_left_arrow.started,box_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,395185,001,2023-09-28_15h27.32.452,WythoffsHumanExp,2023.1.3,None,
9.967018958999915,9.967018958999915,9.967018958999915,9.967018958999915,9.967018958999915,9.967018958999915,9.967018958999915,9.967018958999915,9.967018958999915,9.967018958999915,,,,,,,
