board_outline.started,box_1.started,text_1.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,681782,001,2023-09-27_13h26.44.499,WythoffsHumanExp,2023.1.3,None,
10.59185600001365,10.59185600001365,10.59185600001365,,,,,,,
