games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,board_outline.started,box_1.started,text_1.started,arrow.started,box_2.started,text_2.started,left_arrow.started,up_arrow.started,up_left_arrow.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,48.25828549999278,48.25828549999278,48.25828549999278,48.25828549999278,48.25828549999278,48.25828549999278,48.25828549999278,48.25828549999278,48.25828549999278,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,63.799091375025455,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,76.317896499997,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,,,,,,,,,92.74876575003145,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,,,,,,,,,,110.58862891601166,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,0,0,0,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,1,0,1,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,2,0,2,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,3,0,3,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,,,,,,,,,,,,,,136.43960929103196,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,0,0,0,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,1,0,1,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,2,0,2,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,,,,,,,,,,,,,,150.6228650000412,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,0,0,0,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,1,0,1,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,,,,,,,,,,,,,,161.68996641604463,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,0,0,0,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,1,0,1,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,,,,,,,,,,,,,,171.0725432910258,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,0,0,0,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,1,0,1,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,,,,,,,,,,,,,,183.258886250027,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,0,0,0,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,1,0,1,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,2,0,2,0,,,,,,,,,,,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,,,,,,,,,,,,,,196.31473500002176,588313,001,2023-09-28_12h04.25.409,WythoffsHumanExp,2023.1.3,None,
