practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,recall_text.started,section_2_text.started,section_3_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882641,001,2024-01-04_15h16.58.123,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882641,001,2024-01-04_15h16.58.123,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.357336916997156,,,,,,,,,,,,,882641,001,2024-01-04_15h16.58.123,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0.0005895419999433216,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.028888888888888888, -0.10111111111111111, -0.16111111111111112, -0.18666666666666668, -0.19333333333333333, -0.19333333333333333, -0.19333333333333333, -0.19333333333333333, -0.19333333333333333, -0.23222222222222222, -0.33111111111111113, -0.37777777777777777, -0.39444444444444443, -0.3988888888888889, -0.4, -0.4011111111111111, -0.4022222222222222]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022222222222222223, 0.09666666666666666, 0.17777777777777778, 0.22, 0.2311111111111111, 0.2311111111111111, 0.2311111111111111, 0.2311111111111111, 0.2311111111111111, 0.2511111111111111, 0.3488888888888889, 0.3988888888888889, 0.4122222222222222, 0.41555555555555557, 0.4166666666666667, 0.4166666666666667, 0.4166666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001756249985191971, 0.04979258399907849, 0.09801891700044507, 0.14621262500077137, 0.19478945899754763, 0.24329333399873576, 0.29282441699979245, 0.34191274999830057, 0.3906747090004501, 0.4391984590001812, 0.4872399169980781, 0.5350934589987446, 0.5840615419983806, 0.6322557919993415, 0.680818917000579, 0.7293874999995751, 0.7777372499986086, 0.8264495839976007, 0.8754399999997986, 0.9241412919982395, 0.9726242500000808, 1.0213269999985641, 1.070087500000227]",85.4171105839996,67.46221449999939,,,,882641,001,2024-01-04_15h16.58.123,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0.0005832090027979575,"[-0.35555555555555557, -0.35555555555555557, -0.35555555555555557, -0.35555555555555557, 0.0, 0.0, -0.028888888888888888, -0.043333333333333335, -0.043333333333333335, -0.043333333333333335, -0.043333333333333335, -0.043333333333333335, -0.13777777777777778, -0.36333333333333334, -0.4122222222222222, -0.41444444444444445, -0.41444444444444445, -0.41444444444444445, -0.41444444444444445, -0.4111111111111111, -0.41, -0.41, -0.41]","[0.38555555555555554, 0.38555555555555554, 0.38555555555555554, 0.38555555555555554, 0.0, 0.0, 0.07666666666666666, 0.10888888888888888, 0.11333333333333333, 0.11333333333333333, 0.11333333333333333, 0.11333333333333333, 0.15777777777777777, 0.3011111111111111, 0.3488888888888889, 0.35555555555555557, 0.3566666666666667, 0.35888888888888887, 0.3622222222222222, 0.37555555555555553, 0.38666666666666666, 0.39, 0.39]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001776669996615965, 0.0495693749981001, 0.0971954589986126, 0.14483979199940222, 0.19360129199776566, 0.24317666699789697, 0.29335345900108223, 0.34293545900072786, 0.3919754999988072, 0.4409150419996877, 0.49043329199776053, 0.5399552919989219, 0.589575292000518, 0.6392753340005584, 0.6890053339993756, 0.7376351669990981, 0.7861072499981674, 0.834761083999183, 0.8836772089998703, 0.9321354169987899, 0.9808412919992406, 1.0305924999993294, 1.0791825839987723]",99.77823741699831,,,,,882641,001,2024-01-04_15h16.58.123,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55456108399812,,,882641,001,2024-01-04_15h16.58.123,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882641,001,2024-01-04_15h16.58.123,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.01387016700028,129.7645184590001,,,,,,,
