games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,button_label.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,9.015845333051402,,818550,001,2023-09-26_14h39.05.480,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,818550,001,2023-09-26_14h39.05.480,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,22.885183292033616,,,,,,,
