games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,948268,001,2023-10-02_14h59.31.634,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,948268,001,2023-10-02_14h59.31.634,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,11.565991499999654,948268,001,2023-10-02_14h59.31.634,WythoffsHumanExp,2023.1.3,None,
