practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,imagine_text.started,section_2_text.started,section_3_text.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,14,2023-10-30_19h03.58.138,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,14,2023-10-30_19h03.58.138,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.20628116700391,,,,,,,,,,,,,,7,14,2023-10-30_19h03.58.138,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011816957994597033,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01, -0.03888888888888889, -0.12777777777777777, -0.17888888888888888, -0.17888888888888888, -0.17888888888888888, -0.17888888888888888, -0.17888888888888888, -0.17888888888888888, -0.18777777777777777, -0.23333333333333334, -0.28555555555555556, -0.33555555555555555, -0.35777777777777775, -0.36333333333333334, -0.36777777777777776, -0.38222222222222224, -0.3977777777777778, -0.40555555555555556, -0.40555555555555556]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027777777777777776, 0.06444444444444444, 0.14444444444444443, 0.20777777777777778, 0.20777777777777778, 0.20777777777777778, 0.20777777777777778, 0.20777777777777778, 0.20777777777777778, 0.2111111111111111, 0.24333333333333335, 0.2788888888888889, 0.31333333333333335, 0.3411111111111111, 0.3511111111111111, 0.3566666666666667, 0.3711111111111111, 0.39111111111111113, 0.4033333333333333, 0.4033333333333333]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00019916600285796449, 0.049564000000827946, 0.09859433300152887, 0.14788166600192199, 0.1970576660023653, 0.24638675000460353, 0.2956150410027476, 0.3448080829984974, 0.39413470800354844, 0.4431164580018958, 0.4917065000045113, 0.5404632499994477, 0.5888931660010712, 0.6385911250035861, 0.6885923329973593, 0.7385473750036908, 0.7883623329980765, 0.8387491250032326, 0.8888321249978617, 0.9391607910001767, 0.9891232910013059, 1.0388172079983633, 1.0884415410037036, 1.1386875829994096, 1.1897744579982827, 1.2401197500003036]",119.53248504200019,120.77031112500117,,,,,7,14,2023-10-30_19h03.58.138,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0.0030909590059309267,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008888888888888889, 0.008888888888888889, 0.008888888888888889, 0.008888888888888889, 0.008888888888888889, 0.008888888888888889, 0.008888888888888889, 0.008888888888888889, -0.0077777777777777776, -0.05555555555555555, -0.15555555555555556, -0.21555555555555556, -0.24444444444444444, -0.2677777777777778, -0.2788888888888889, -0.28444444444444444, -0.2877777777777778, -0.28888888888888886, -0.29, -0.2911111111111111, -0.2911111111111111, -0.29444444444444445, -0.3022222222222222, -0.3111111111111111, -0.31555555555555553, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.32, -0.34, -0.3522222222222222, -0.35888888888888887, -0.3611111111111111, -0.3611111111111111, -0.36, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887, -0.36, -0.37444444444444447, -0.38555555555555554, -0.39111111111111113, -0.39666666666666667, -0.4011111111111111, -0.4022222222222222]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0033333333333333335, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.0022222222222222222, 0.025555555555555557, 0.11555555555555555, 0.19333333333333333, 0.24333333333333335, 0.2777777777777778, 0.29333333333333333, 0.29888888888888887, 0.3022222222222222, 0.30444444444444446, 0.30666666666666664, 0.31, 0.31222222222222223, 0.32, 0.3333333333333333, 0.3488888888888889, 0.35777777777777775, 0.35888888888888887, 0.35888888888888887, 0.3566666666666667, 0.35444444444444445, 0.35444444444444445, 0.35444444444444445, 0.35444444444444445, 0.35444444444444445, 0.35444444444444445, 0.35444444444444445, 0.35444444444444445, 0.35444444444444445, 0.35444444444444445, 0.35444444444444445, 0.35444444444444445, 0.35444444444444445, 0.35444444444444445, 0.35444444444444445, 0.35444444444444445, 0.36, 0.3688888888888889, 0.3811111111111111, 0.39111111111111113, 0.39111111111111113, 0.39111111111111113, 0.39111111111111113, 0.39111111111111113, 0.39111111111111113, 0.39111111111111113, 0.39111111111111113, 0.39111111111111113, 0.39111111111111113, 0.39111111111111113, 0.39111111111111113, 0.39111111111111113, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225, 0.39666666666666667, 0.4022222222222222, 0.40444444444444444, 0.4088888888888889, 0.4111111111111111, 0.4122222222222222]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0007300829965970479, 0.05134712500148453, 0.1018575409980258, 0.1521357910023653, 0.20207674999983283, 0.2514851660016575, 0.3012637909996556, 0.3511804160007159, 0.40100833299948135, 0.4506987080021645, 0.5000817499967525, 0.5492427080025664, 0.5987056250014575, 0.6480359999986831, 0.6975851250026608, 0.747077874999377, 0.7964419999989332, 0.8458602910031914, 0.8955403750005644, 0.9449221250033588, 0.994355540999095, 1.044151916001283, 1.093335500001558, 1.1425944579968927, 1.1911802909962717, 1.2403492079974967, 1.289533750001283, 1.3388065830004052, 1.38804962499853, 1.4374519580014748, 1.4867560409984435, 1.5345761659991695, 1.58473983300064, 1.6339796660031425, 1.6846048750012415, 1.7343592909965082, 1.7836423749977257, 1.8333200409979327, 1.8829303750026156, 1.9332221250006114, 1.983660541001882, 2.0327873330024886, 2.0822443750003004, 2.1310880000019097, 2.179935291002039, 2.228918833003263, 2.277641583001241, 2.326388749999751, 2.375146207996295, 2.4244606659995043, 2.4740680410031928, 2.523558957997011, 2.5729722499963827, 2.6225795409991406, 2.6720465830003377, 2.7214025409994065, 2.770690375000413, 2.819548040999507, 2.8683269999964978, 2.91750991599838, 2.9669633750017965, 3.0163549999997485, 3.065880415997526, 3.115640666001127, 3.1649176249993616, 3.2147402909977245, 3.263722957999562, 3.3122960409964435, 3.3611355000030017, 3.4100145830016118, 3.458160583002609, 3.5067735830016318, 3.5554040830029408, 3.603988916001981, 3.6527228749982896, 3.702140125002188, 3.752249375000247, 3.8022877080002218, 3.852528750001511, 3.9018745829962427, 3.952250540998648, 4.0023837909975555, 4.051971583001432]",140.01516770799935,,,,,,7,14,2023-10-30_19h03.58.138,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0.04837795900675701,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.0044444444444444444, -0.005555555555555556, -0.005555555555555556, -0.005555555555555556, -0.005555555555555556, -0.005555555555555556, -0.014444444444444444, -0.044444444444444446, -0.11222222222222222, -0.2011111111111111, -0.25666666666666665, -0.29888888888888887, -0.31777777777777777, -0.33111111111111113, -0.34, -0.3566666666666667, -0.37444444444444447, -0.3888888888888889, -0.39666666666666667, -0.39666666666666667]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.056666666666666664, 0.10333333333333333, 0.11333333333333333, 0.11333333333333333, 0.11333333333333333, 0.11333333333333333, 0.11333333333333333, 0.11444444444444445, 0.12444444444444444, 0.15666666666666668, 0.20444444444444446, 0.25222222222222224, 0.29555555555555557, 0.3211111111111111, 0.3433333333333333, 0.36333333333333334, 0.3788888888888889, 0.39, 0.3977777777777778, 0.40555555555555556, 0.40555555555555556]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005115419990033843, 0.05026829199778149, 0.09992820899788057, 0.1492862500017509, 0.1989079170016339, 0.24880291699810186, 0.29886987499776296, 0.34875370899681, 0.39869041700148955, 0.4486847090010997, 0.4982505840016529, 0.5479807090014219, 0.5978604589981842, 0.6478772089976701, 0.6982441669970285, 0.7486167090028175, 0.7987209170023561, 0.8482127500028582, 0.8984706249975716, 0.9488236670003971, 0.9992303339968203, 1.0487656249970314, 1.0988817090037628, 1.1486734170030104, 1.1990241250023246, 1.2502474170032656, 1.2993632090001483]",149.85190304199932,,,,,,7,14,2023-10-30_19h03.58.138,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,0.01058795800054213,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.025555555555555557, -0.07222222222222222, -0.15333333333333332, -0.18777777777777777, -0.19333333333333333, -0.19333333333333333, -0.19333333333333333, -0.19333333333333333, -0.19333333333333333, -0.19333333333333333, -0.22333333333333333, -0.27555555555555555, -0.32666666666666666, -0.35, -0.3611111111111111, -0.3688888888888889, -0.37333333333333335, -0.3788888888888889, -0.38222222222222224, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.38333333333333336, -0.39, -0.4022222222222222, -0.41444444444444445, -0.42, -0.4211111111111111, -0.4211111111111111]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03666666666666667, 0.08444444444444445, 0.16777777777777778, 0.2111111111111111, 0.22666666666666666, 0.22666666666666666, 0.22666666666666666, 0.22666666666666666, 0.22666666666666666, 0.22666666666666666, 0.23333333333333334, 0.2611111111111111, 0.30333333333333334, 0.3277777777777778, 0.3422222222222222, 0.3611111111111111, 0.37222222222222223, 0.3888888888888889, 0.40444444444444444, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4088888888888889, 0.41, 0.41, 0.41]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0002168339997297153, 0.04980704199988395, 0.09915895899757743, 0.1484597499947995, 0.19760137499542907, 0.24707254199893214, 0.2963382919988362, 0.34560208399489056, 0.3958805419970304, 0.44548112499614945, 0.49468612499913434, 0.5440116249956191, 0.5932874589998391, 0.6428406249979162, 0.6926334589952603, 0.742754041995795, 0.7929916249995586, 0.8429265419981675, 0.8930333749958663, 0.9430859589992906, 0.9934658749989467, 1.0437215419951826, 1.093449125000916, 1.1435047919949284, 1.1936866249961895, 1.2433431669996935, 1.2931452919947333, 1.3432819169975119, 1.3929126250004629, 1.4423128339985851, 1.4912682919966755, 1.5402510419953614, 1.5893914999978733, 1.6386303339968435, 1.6879814169951715, 1.7371188339966466, 1.786452125001233, 1.8357102499940083]",172.3423912080034,,,,,,7,14,2023-10-30_19h03.58.138,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,0.013661832999787293,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05444444444444444, -0.12, -0.15888888888888889, -0.1622222222222222, -0.1622222222222222, -0.1622222222222222, -0.1622222222222222, -0.1622222222222222, -0.1711111111111111, -0.21333333333333335, -0.27444444444444444, -0.31333333333333335, -0.3322222222222222, -0.3477777777777778, -0.35777777777777775, -0.37222222222222223, -0.39111111111111113, -0.4, -0.4011111111111111]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06222222222222222, 0.14555555555555555, 0.20555555555555555, 0.21333333333333335, 0.21333333333333335, 0.21333333333333335, 0.21333333333333335, 0.21333333333333335, 0.21555555555555556, 0.24666666666666667, 0.30333333333333334, 0.33666666666666667, 0.3566666666666667, 0.37222222222222223, 0.3788888888888889, 0.3844444444444444, 0.39555555555555555, 0.4, 0.4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00023391700233332813, 0.04961841699696379, 0.09943795800063526, 0.148636500001885, 0.19776000000274507, 0.24707408300309908, 0.2966709999964223, 0.34644329200091306, 0.39633266699820524, 0.44506429199827835, 0.4938686669993331, 0.5427795419964241, 0.5921693749987753, 0.6422095419984544, 0.6921942080007284, 0.7427362500020536, 0.7924181670023245, 0.8425078750005923, 0.8926120000032824, 0.9426775829997496, 0.9926927920023445, 1.0432245830015745, 1.0937084170000162, 1.1440034580009524, 1.1933784170032595]",207.19346145800228,,,,,,7,14,2023-10-30_19h03.58.138,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,0.02733716700458899,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0044444444444444444, -0.052222222222222225, -0.15333333333333332, -0.25666666666666665, -0.31777777777777777, -0.34, -0.34444444444444444, -0.34444444444444444, -0.34444444444444444, -0.34444444444444444, -0.35333333333333333, -0.38, -0.3988888888888889, -0.40444444444444444, -0.4066666666666667, -0.41, -0.41]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0022222222222222222, 0.058888888888888886, 0.16111111111111112, 0.2722222222222222, 0.3477777777777778, 0.37666666666666665, 0.3877777777777778, 0.3877777777777778, 0.3877777777777778, 0.3877777777777778, 0.3877777777777778, 0.3933333333333333, 0.39666666666666667, 0.3977777777777778, 0.3988888888888889, 0.3988888888888889, 0.3988888888888889]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00023637500271433964, 0.0493795830043382, 0.09862783300195588, 0.1478038330023992, 0.19709854100074153, 0.2465172079973854, 0.29571966599905863, 0.34488779099774547, 0.3934009580043494, 0.4418191660006414, 0.49044387500180164, 0.5394850829979987, 0.5889292909996584, 0.6379575410028338, 0.6872775000010733, 0.7364390000002459, 0.7855804580030963, 0.8348313750029774, 0.8833927079977002, 0.9320450000013807, 0.9815416249984992, 1.031297875000746, 1.0813977500001783, 1.1312798750004731, 1.1813302500013378, 1.231520332999935, 1.2824862909983494, 1.3330228330014506, 1.3823221659986302]",216.90519812500133,,,,,,7,14,2023-10-30_19h03.58.138,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,0.04447420900396537,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.043333333333333335, -0.1388888888888889, -0.21777777777777776, -0.2733333333333333, -0.2966666666666667, -0.30777777777777776, -0.31555555555555553, -0.3233333333333333, -0.32666666666666666, -0.3333333333333333, -0.34, -0.3411111111111111]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03, 0.12777777777777777, 0.21555555555555556, 0.28444444444444444, 0.31444444444444447, 0.32222222222222224, 0.3288888888888889, 0.33444444444444443, 0.33666666666666667, 0.34, 0.34444444444444444, 0.34555555555555556]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0002413340043858625, 0.049357875002897345, 0.09791533400129993, 0.14661700000579003, 0.19539649999933317, 0.24427645900141215, 0.29294216700509423, 0.34309841700451216, 0.3934797920010169, 0.44361729200318223, 0.4938814170018304, 0.544138709003164, 0.5942756670046947, 0.6439091249994817, 0.6938795420064707, 0.7440569169993978, 0.7940590840007644, 0.8445425840036478, 0.8949208340054611, 0.944578292001097]",236.485214291999,,,,,,7,14,2023-10-30_19h03.58.138,WythoffsHumanExp,2023.1.3,None,
