games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,button_label.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,8.739892291021533,873704,001,2023-09-26_15h15.43.353,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,873704,001,2023-09-26_15h15.43.353,WythoffsHumanExp,2023.1.3,None,
