practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,899104,001,2024-01-23_16h35.05.139,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,899104,001,2024-01-23_16h35.05.139,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,10.66396012500627,,,,,,,,899104,001,2024-01-23_16h35.05.139,WythoffsHumanExp,2023.1.3,None,
