games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,section_1_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,315998,001,2023-10-12_15h17.02.278,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,315998,001,2023-10-12_15h17.02.278,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,14.410630375001347,,,,,,,,,,,315998,001,2023-10-12_15h17.02.278,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,0.03546479099895805,"[0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10888888888888888, 0.10444444444444445, 0.07666666666666666, -0.06222222222222222, -0.2111111111111111, -0.31777777777777777, -0.37666666666666665, -0.3988888888888889, -0.40444444444444444, -0.4066666666666667, -0.4077777777777778, -0.41333333333333333, -0.41444444444444445, -0.41444444444444445, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111]","[0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.0011111111111111111, 0.008888888888888889, 0.03666666666666667, 0.14888888888888888, 0.2788888888888889, 0.3877777777777778, 0.45, 0.4677777777777778, 0.4688888888888889, 0.4677777777777778, 0.46111111111111114, 0.44666666666666666, 0.43333333333333335, 0.4211111111111111, 0.41, 0.4066666666666667, 0.4066666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0002819170040311292, 0.052025750002940185, 0.10364295900217257, 0.1536007920076372, 0.20317429200804327, 0.25117837499419693, 0.29918258399993647, 0.3476857089990517, 0.39698158399551176, 0.44575933400483336, 0.49412945899530314, 0.5433486249967245, 0.5922913340036757, 0.6402844170079334, 0.6883847090066411, 0.7363840000034543, 0.7844757090060739, 0.8324125000071945, 0.8806785839988152, 0.9288892089971341, 0.9769813750026515, 1.024857249998604, 1.072628584006452, 1.1203685420041438, 1.1686462090001442, 1.2168749590055086, 1.265373375004856, 1.3130368340061978, 1.3607522920065094, 1.4089383340033237, 1.457097167003667, 1.5051896250079153, 1.5540242090064567, 1.6034743750060443, 1.6523999170021852, 1.700911209001788, 1.7492772919940762, 1.7979536250059027, 1.8467006669961847, 1.8956630839966238, 1.9451185000070836, 1.9941588750079973, 2.042842416994972, 2.091416334005771, 2.140079999997397, 2.1891226250008913, 2.2378735420061275, 2.2860845840041293]",,,,315998,001,2023-10-12_15h17.02.278,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,27.82297920899873,,,315998,001,2023-10-12_15h17.02.278,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,[],[],[],[],[],[],,,,315998,001,2023-10-12_15h17.02.278,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,,,,,,0.016379624998080544,"[-0.20555555555555555, -0.20555555555555555, -0.22, -0.24888888888888888, -0.2733333333333333, -0.29555555555555557, -0.31666666666666665, -0.3333333333333333, -0.3433333333333333, -0.35, -0.35777777777777775, -0.36777777777777776, -0.38222222222222224, -0.39444444444444443, -0.4033333333333333, -0.40555555555555556, -0.40555555555555556]","[0.17222222222222222, 0.17222222222222222, 0.14888888888888888, 0.1288888888888889, 0.12333333333333334, 0.11777777777777777, 0.11, 0.10444444444444445, 0.10222222222222223, 0.09888888888888889, 0.09333333333333334, 0.08555555555555555, 0.07444444444444444, 0.06222222222222222, 0.05333333333333334, 0.052222222222222225, 0.052222222222222225]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005723749927710742, 0.049430541999754496, 0.09897641699353699, 0.14835529199626762, 0.19700637499045115, 0.2452233329968294, 0.2941905420011608, 0.34273591700184625, 0.39160224999068305, 0.4405017079989193, 0.48952537500008475, 0.5380371670034947, 0.5865990829915972, 0.6352882920036791, 0.6842002079938538, 0.7335279999970226, 0.782102124998346]",,,,315998,001,2023-10-12_15h17.02.278,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,,,,,,,,0.035438709004665725,"[-0.42444444444444446, -0.4222222222222222, -0.41888888888888887, -0.41888888888888887, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778]","[0.39555555555555555, 0.3988888888888889, 0.4066666666666667, 0.4077777777777778, 0.4077777777777778, 0.4077777777777778, 0.4077777777777778]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.00039333300082944334, 0.04959029199380893, 0.10299654200207442, 0.15166024999052752, 0.2011566250002943, 0.2501991249882849, 0.29960108299565036]",,,,315998,001,2023-10-12_15h17.02.278,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,42.812624750004034,,,315998,001,2023-10-12_15h17.02.278,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,43.40205312499893,,315998,001,2023-10-12_15h17.02.278,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,315998,001,2023-10-12_15h17.02.278,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,44.34197029200732,315998,001,2023-10-12_15h17.02.278,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,315998,001,2023-10-12_15h17.02.278,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,315998,001,2023-10-12_15h17.02.278,WythoffsHumanExp,2023.1.3,None,
