trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,countdown_text.started,npc.started,moving_npc.started,piece.started,text.started,moving_piece.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.312314041017089,11.317258041002788,12.589570250012912,,,,876512,001,2023-09-25_10h51.31.627,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,16.86499570804881,18.095993041002657,13.582477125048172,13.582477125048172,15.83689958305331,876512,001,2023-09-25_10h51.31.627,WythoffsHumanExp,2023.1.3,None,
,,,,,,,19.119206958042923,19.119206958042923,19.673591000027955,,,,,,,
