practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,double_click_4.thisRepN,double_click_4.thisTrialN,double_click_4.thisN,double_click_4.thisIndex,new_games.thisRepN,new_games.thisTrialN,new_games.thisN,new_games.thisIndex,turns_4.thisRepN,turns_4.thisTrialN,turns_4.thisN,turns_4.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,recall_text.started,section_2_text.started,section_3_text.started,nim_text.started,section_4_text.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973975,001,2024-01-25_09h47.28.738,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973975,001,2024-01-25_09h47.28.738,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.031520958000328,,,,,,,,,,,,,,,,973975,001,2024-01-25_09h47.28.738,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006010839715600014,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.06, -0.11333333333333333, -0.13111111111111112, -0.15555555555555556, -0.17, -0.18444444444444444, -0.18444444444444444, -0.18333333333333332, -0.1811111111111111, -0.1811111111111111, -0.1811111111111111, -0.1811111111111111]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1411111111111111, 0.21555555555555556, 0.25333333333333335, 0.2922222222222222, 0.31666666666666665, 0.35, 0.37222222222222223, 0.38555555555555554, 0.39222222222222225, 0.3933333333333333, 0.3933333333333333, 0.3933333333333333]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018279196228832006, 0.049723833973985165, 0.0982240000157617, 0.14688262500567362, 0.19538866699440405, 0.2437203750014305, 0.3149439999833703, 0.364850000012666, 0.4145345420110971, 0.4638122500036843, 0.5135608339915052, 0.5630507089663297, 0.6126232919632457, 0.6617720419890247, 0.7102487090160139, 0.7586743339779787, 0.8077037920011207, 0.8568559999694116, 0.9061459169606678, 0.9556238339864649, 1.0043670840095729, 1.053622292005457, 1.1022704999777488, 1.1509976249653846, 1.2005776250152849, 1.249934084014967, 1.299337291973643, 1.3486125000054017, 1.3975253339740448, 1.4471623339923099, 1.4971680419985205, 1.546639917010907, 1.5952354170149192, 1.6444549589650705, 1.693643249978777]",68.94984725001268,56.19424658303615,,,,,,,973975,001,2024-01-25_09h47.28.738,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04525712499162182,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04666666666666667, -0.12777777777777777, -0.19444444444444445, -0.23555555555555555, -0.2733333333333333, -0.3022222222222222, -0.3233333333333333, -0.3333333333333333, -0.3566666666666667, -0.37666666666666665, -0.38, -0.39, -0.39111111111111113, -0.39111111111111113]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04888888888888889, 0.12555555555555556, 0.19333333333333333, 0.24, 0.2966666666666667, 0.3388888888888889, 0.35333333333333333, 0.36, 0.37444444444444447, 0.3844444444444444, 0.38555555555555554, 0.3888888888888889, 0.3888888888888889, 0.3888888888888889]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017120799748227, 0.04989154200302437, 0.0991792919812724, 0.14835270796902478, 0.197592957993038, 0.2467315829708241, 0.2959417079691775, 0.34587675001239404, 0.3954864169936627, 0.44579029199667275, 0.4957365419832058, 0.545790207979735, 0.5953993749571964, 0.6451214170083404, 0.6948006669990718, 0.7449950829613954, 0.7946649999939837, 0.8444123750086874, 0.8938049579737708, 0.9435193329700269, 0.9932332079624757, 1.0431281669880264]",75.88971566600958,,,,,,,,973975,001,2024-01-25_09h47.28.738,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.77611754101235,,,,,,973975,001,2024-01-25_09h47.28.738,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973975,001,2024-01-25_09h47.28.738,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973975,001,2024-01-25_09h47.28.738,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008588084019720554,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07111111111111111, -0.17444444444444446, -0.23777777777777778, -0.29, -0.3377777777777778, -0.3566666666666667, -0.3711111111111111, -0.38555555555555554, -0.39, -0.39, -0.39, -0.39, -0.39]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06111111111111111, 0.11555555555555555, 0.15333333333333332, 0.18666666666666668, 0.21444444444444444, 0.23333333333333334, 0.25555555555555554, 0.2777777777777778, 0.28444444444444444, 0.28444444444444444, 0.28444444444444444, 0.28444444444444444, 0.28444444444444444]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001772079849615693, 0.04963529098313302, 0.09811570798046887, 0.14676183299161494, 0.19485920801525936, 0.24297658301657066, 0.2911259580287151, 0.33943529101088643, 0.38793995801825076, 0.4362471660133451, 0.4851467499975115, 0.5344603330013342, 0.5836250000284053, 0.6352690000203438, 0.6851000409806147, 0.7336086659925058, 0.7827880409895442, 0.8310432910220698, 0.879740790987853, 0.9280290000024252, 0.9767126250080764, 1.0255791660165414, 1.0742127079865895, 1.1226995409815572, 1.171052583027631, 1.2193812500336207, 1.2684057499864139, 1.31741504103411, 1.3660562080331147, 1.4147418750217184, 1.463223166007083, 1.5114866659860127, 1.5602348750107922, 1.6088667910080403, 1.6576457080082037, 1.7066827500239015, 1.7550555409980007, 1.8035767910187133, 1.8522127909818664, 1.901956790999975, 1.951483166019898, 2.0014978330000304, 2.051170082995668, 2.100816958001815, 2.1503947909804992, 2.199873082980048, 2.2491664160043, 2.2972022499889135, 2.3454470410360955, 2.394853083009366, 2.4433745000278577]",119.51230329100508,,,78.30307745799655,98.7650835410459,,,,973975,001,2024-01-25_09h47.28.738,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.06178666604683,,,973975,001,2024-01-25_09h47.28.738,WythoffsHumanExp,2023.1.3,None,
