practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468490,001,2023-10-30_14h28.46.261,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468490,001,2023-10-30_14h28.46.261,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,16.43671904200164,,,,,,,,,,,,468490,001,2023-10-30_14h28.46.261,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,0.001955250001628883,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.005555555555555556, -0.06888888888888889, -0.14666666666666667, -0.21666666666666667, -0.27111111111111114, -0.30444444444444446, -0.32222222222222224, -0.3388888888888889, -0.3566666666666667, -0.37333333333333335, -0.3877777777777778, -0.3933333333333333, -0.39444444444444443]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0022222222222222222, -0.03777777777777778, -0.07777777777777778, -0.10666666666666667, -0.12, -0.12222222222222222, -0.12, -0.11555555555555555, -0.1111111111111111, -0.10777777777777778, -0.10777777777777778, -0.10777777777777778, -0.10777777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018029199418378994, 0.0489300839981297, 0.09737374999531312, 0.14548708399524912, 0.1939607089952915, 0.24242287499509985, 0.2908786669941037, 0.34010979199956637, 0.3894447919956292, 0.43905274999997346, 0.48850687500089407, 0.5379693750001024, 0.5875955839946982, 0.6369227499963017, 0.6861371249979129, 0.734928249999939, 0.7843077090001316, 0.8333208749972982, 0.8820821669942234, 0.930630167000345, 0.9792924169960315]",45.07026158300141,45.958015667005384,,,468490,001,2023-10-30_14h28.46.261,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0.014924374998372514,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.011111111111111112, -0.06, -0.1688888888888889, -0.26222222222222225, -0.31333333333333335, -0.33666666666666667, -0.35, -0.3566666666666667, -0.36444444444444446, -0.3711111111111111, -0.3788888888888889, -0.38555555555555554, -0.39222222222222225, -0.39555555555555555, -0.39555555555555555, -0.39555555555555555]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006666666666666667, 0.05333333333333334, 0.16666666666666666, 0.2777777777777778, 0.33444444444444443, 0.35888888888888887, 0.3711111111111111, 0.37555555555555553, 0.3788888888888889, 0.38222222222222224, 0.3844444444444444, 0.38666666666666666, 0.39, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001747089991113171, 0.048010042002715636, 0.09558195900171995, 0.14298120899911737, 0.19037316700269002, 0.23779954200290376, 0.28558491700096056, 0.3337862499975017, 0.3818496669991873, 0.43024679199879756, 0.4785941250011092, 0.5266314999971655, 0.5750288339986582, 0.6234282919976977, 0.6718648750029388, 0.7205093750017113, 0.7684170420034206, 0.8166487499984214, 0.8648736250033835, 0.9129039170002216, 0.9608805000025313, 1.0088934169980348, 1.0570931249967543, 1.1058962500028429]",73.48284187500394,,,,468490,001,2023-10-30_14h28.46.261,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,0.025896042003296316,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.022222222222222223, -0.07, -0.17777777777777778, -0.26555555555555554, -0.33666666666666667, -0.3788888888888889, -0.4077777777777778, -0.42333333333333334, -0.43666666666666665, -0.4411111111111111, -0.4411111111111111, -0.43777777777777777, -0.43222222222222223, -0.4255555555555556, -0.4222222222222222, -0.42, -0.42]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023333333333333334, 0.07111111111111111, 0.19444444444444445, 0.29777777777777775, 0.37222222222222223, 0.4111111111111111, 0.43444444444444447, 0.4477777777777778, 0.45666666666666667, 0.45666666666666667, 0.45555555555555555, 0.45111111111111113, 0.44, 0.43333333333333335, 0.4311111111111111, 0.4288888888888889, 0.42777777777777776]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001844159996835515, 0.04835095800081035, 0.09535895800217986, 0.14260429100249894, 0.18995229100255528, 0.23697412500041537, 0.28435479100153316, 0.33170987499761395, 0.37895900000148686, 0.4260462079982972, 0.4736153749981895, 0.5214065830004984, 0.5691199159991811, 0.6166572500005714, 0.6647324160003336, 0.7124185409993515, 0.7607801249978365, 0.8085440829963773, 0.8563725830026669, 0.90430316599668, 0.9520594159985194, 0.9999313750013243, 1.04793958299706, 1.0957317499996861, 1.1436335000034887, 1.1916362499978277, 1.2400057499980903, 1.2874589580023894]",80.68215933300235,,,,468490,001,2023-10-30_14h28.46.261,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.3150406670029,,468490,001,2023-10-30_14h28.46.261,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468490,001,2023-10-30_14h28.46.261,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.78813841700321,468490,001,2023-10-30_14h28.46.261,WythoffsHumanExp,2023.1.3,None,
