games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,512819,001,2023-10-04_13h36.25.850,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,512819,001,2023-10-04_13h36.25.850,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,16.797796625003684,,,,512819,001,2023-10-04_13h36.25.850,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,512819,001,2023-10-04_13h36.25.850,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,512819,001,2023-10-04_13h36.25.850,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,37.505579792006756,,,512819,001,2023-10-04_13h36.25.850,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,512819,001,2023-10-04_13h36.25.850,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,512819,001,2023-10-04_13h36.25.850,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,,,512819,001,2023-10-04_13h36.25.850,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,52.140635292002116,,,512819,001,2023-10-04_13h36.25.850,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,53.565188874999876,,512819,001,2023-10-04_13h36.25.850,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,512819,001,2023-10-04_13h36.25.850,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,54.338529583998024,512819,001,2023-10-04_13h36.25.850,WythoffsHumanExp,2023.1.3,None,
