games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,countdown_text.started,blue_piece.started,red_piece.started,piece.started,text.started,moving_piece.started,npc.started,moving_npc.started,end_blue.started,end_red.started,feedback_win.started,feedback_lose.started,feedback_win.stopped,feedback_lose.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,8.251686083036475,8.251686083036475,8.251686083036475,11.249456499994267,11.249456499994267,13.706945249985438,14.706158958026208,15.958508500014432,,,,,,,910155,001,2023-09-25_14h50.48.450,WythoffsHumanExp,2023.1.3,60.09910316825707,
0,0,0,0,,,,,,,,,,,,,16.96467383299023,16.96467383299023,17.67041150003206,17.67041150003206,19.716186958015896,19.716186958015896,910155,001,2023-09-25_14h50.48.450,WythoffsHumanExp,2023.1.3,60.09910316825707,
1,0,1,0,0,0,0,0,19.716186958015896,19.716186958015896,19.716186958015896,,,,22.73672629101202,24.011379958014004,,,,,,,910155,001,2023-09-25_14h50.48.450,WythoffsHumanExp,2023.1.3,60.09910316825707,
1,0,1,0,1,0,1,0,,,,25.017210457997862,25.017210457997862,25.667979290999938,26.67643054103246,27.936307208030485,,,,,,,910155,001,2023-09-25_14h50.48.450,WythoffsHumanExp,2023.1.3,60.09910316825707,
1,0,1,0,,,,,,,,,,,,,28.93675625004107,28.93675625004107,29.63811383303255,29.63811383303255,,,910155,001,2023-09-25_14h50.48.450,WythoffsHumanExp,2023.1.3,60.09910316825707,
