board_outline.started,box_1.started,text_1.started,arrow.started,box_2.started,text_2.started,left_arrow.started,up_arrow.started,up_left_arrow.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,765451,001,2023-09-27_14h52.03.187,WythoffsHumanExp,2023.1.3,None,
9.768711208016612,9.768711208016612,9.768711208016612,9.768711208016612,9.768711208016612,9.768711208016612,9.768711208016612,9.768711208016612,9.768711208016612,,,,,,,
