games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,27.73637533400324,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,37.56290900000022,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,52.61604320901097,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,62.59056295899791,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,,78.10805412501213,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,0,0,0,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,1,0,1,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,,,,,,88.81569429201772,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,0,0,0,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,1,0,1,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,,,,,,98.12675475000287,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,0,0,0,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,1,0,1,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,2,0,2,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,3,0,3,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,,,,,,118.04180570901372,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,0,0,0,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,1,0,1,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,,,,,,130.34469166700728,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,0,0,0,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,1,0,1,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,2,0,2,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,,,,,,147.88389362499584,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,0,0,0,0,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,,,,,,154.87715549999848,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,157.32034158401075,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,158.77825929201208,034075,001,2023-10-05_12h41.12.371,WythoffsHumanExp,2023.1.3,None,
