trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,piece.started,moving_piece.started,npc.started,moving_npc.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,9.961259333998896,124.0453235419991,125.04868841698044,126.04704458397464,344590,001,2023-09-20_10h20.31.015,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,127.05856312499964,128.99069512498681,130.00971495898557,131.02803941699676,344590,001,2023-09-20_10h20.31.015,WythoffsHumanExp,2023.1.3,None,
,,,,131.9901748339762,201.43844191698008,,,,,,,,,
