games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,050622,001,2023-09-29_15h39.26.773,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,050622,001,2023-09-29_15h39.26.773,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,9.660274417001347,,050622,001,2023-09-29_15h39.26.773,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,050622,001,2023-09-29_15h39.26.773,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,21.141929917001107,050622,001,2023-09-29_15h39.26.773,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,050622,001,2023-09-29_15h39.26.773,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,050622,001,2023-09-29_15h39.26.773,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,050622,001,2023-09-29_15h39.26.773,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,41.55953829200007,050622,001,2023-09-29_15h39.26.773,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,050622,001,2023-09-29_15h39.26.773,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,050622,001,2023-09-29_15h39.26.773,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,2,0,2,0,,,050622,001,2023-09-29_15h39.26.773,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,3,0,3,0,,,050622,001,2023-09-29_15h39.26.773,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,61.58318924999912,050622,001,2023-09-29_15h39.26.773,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,050622,001,2023-09-29_15h39.26.773,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,050622,001,2023-09-29_15h39.26.773,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,69.9481349580019,,,,,,,
