games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,status_text.started,next_mouse.started,next_mouse.x,next_mouse.y,next_mouse.leftButton,next_mouse.midButton,next_mouse.rightButton,next_mouse.time,next_mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,,,,,,267511,001,2023-09-26_14h10.57.765,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,14.571115791972261,0.031747917004395276,[-0.07222222222222222],[-0.008888888888888889],[1],[0],[0],[41.60122725000838],['button'],267511,001,2023-09-26_14h10.57.765,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,267511,001,2023-09-26_14h10.57.765,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,65.33343812497333,0.029585417010821402,[-0.022222222222222223],[-0.015555555555555555],[1],[0],[0],[35.755215457989834],['button'],267511,001,2023-09-26_14h10.57.765,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,,,,,,,,267511,001,2023-09-26_14h10.57.765,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,,,,,,,,267511,001,2023-09-26_14h10.57.765,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,108.65069933299674,0.03040920797502622,[-0.04],[-0.03222222222222222],[1],[0],[0],[7.8047222919994965],['button'],267511,001,2023-09-26_14h10.57.765,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,,,,,,,,267511,001,2023-09-26_14h10.57.765,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,,,,,,,,267511,001,2023-09-26_14h10.57.765,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,124.00325775000965,0.02512887498596683,[-0.03777777777777778],[-0.024444444444444446],[1],[0],[0],[27.52042341697961],['button'],267511,001,2023-09-26_14h10.57.765,WythoffsHumanExp,2023.1.3,None,
