games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,mouse.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,883207,001,2023-10-12_13h30.15.113,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,883207,001,2023-10-12_13h30.15.113,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,101.359735792008,,,,,,,,,,,883207,001,2023-10-12_13h30.15.113,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,[],[],[],[],[],[],,,,,883207,001,2023-10-12_13h30.15.113,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,108.29827133299841,,,,883207,001,2023-10-12_13h30.15.113,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,"[-0.30333333333333334, -0.30333333333333334, -0.30333333333333334, -0.30333333333333334, -0.30333333333333334, -0.30333333333333334, -0.30333333333333334, -0.30333333333333334, -0.30333333333333334, -0.30333333333333334, -0.30333333333333334, -0.30333333333333334]","[0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017025000124704093, 0.04986970800382551, 0.09883958300633822, 0.14832179200311657, 0.1971157500083791, 0.24583758300286718, 0.2951912499993341, 0.34486287500476465, 0.39460900000995025, 0.4444920829992043, 0.4949412080022739, 0.5453905000031227]",,0.03242083299846854,,,883207,001,2023-10-12_13h30.15.113,WythoffsHumanExp,2023.1.3,None,
