games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,938585,001,2023-10-12_13h25.00.518,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,938585,001,2023-10-12_13h25.00.518,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,10.928953666996676,,,,,,,,,,,938585,001,2023-10-12_13h25.00.518,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,[],[],[],[],[],[],,,,,938585,001,2023-10-12_13h25.00.518,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,"[-0.2011111111111111, -0.20222222222222222, -0.22111111111111112, -0.2511111111111111, -0.2777777777777778, -0.29555555555555557, -0.30777777777777776, -0.3111111111111111, -0.31, -0.30444444444444446, -0.29333333333333333, -0.28555555555555556, -0.28444444444444444, -0.2866666666666667, -0.2877777777777778, -0.28555555555555556, -0.2688888888888889, -0.24666666666666667, -0.22777777777777777, -0.21666666666666667, -0.21444444444444444, -0.21444444444444444, -0.21888888888888888, -0.22666666666666666, -0.2411111111111111, -0.25333333333333335, -0.25666666666666665, -0.25666666666666665, -0.25666666666666665, -0.25666666666666665, -0.25666666666666665, -0.2544444444444444, -0.25222222222222224, -0.2511111111111111, -0.24222222222222223, -0.23333333333333334, -0.22777777777777777, -0.22444444444444445, -0.2222222222222222, -0.22, -0.21777777777777776, -0.21333333333333335, -0.20333333333333334, -0.19444444444444445, -0.18777777777777777, -0.18333333333333332, -0.1811111111111111, -0.1811111111111111, -0.18777777777777777, -0.22666666666666666, -0.31555555555555553, -0.3655555555555556, -0.3988888888888889, -0.4077777777777778, -0.4088888888888889, -0.4088888888888889, -0.4088888888888889, -0.4088888888888889, -0.4088888888888889, -0.4088888888888889, -0.3988888888888889, -0.3711111111111111, -0.3244444444444444, -0.29, -0.28, -0.2733333333333333, -0.2688888888888889, -0.2677777777777778, -0.2688888888888889, -0.2733333333333333, -0.2788888888888889, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.2822222222222222, -0.27666666666666667, -0.2577777777777778, -0.21666666666666667, -0.18888888888888888, -0.1711111111111111, -0.15888888888888889, -0.15, -0.1411111111111111, -0.13777777777777778, -0.13555555555555557, -0.13555555555555557]","[0.2833333333333333, 0.2833333333333333, 0.28555555555555556, 0.29444444444444445, 0.31, 0.3244444444444444, 0.33444444444444443, 0.3377777777777778, 0.3377777777777778, 0.3333333333333333, 0.31777777777777777, 0.29555555555555557, 0.2722222222222222, 0.25333333333333335, 0.24555555555555555, 0.24333333333333335, 0.24333333333333335, 0.2511111111111111, 0.26, 0.27111111111111114, 0.27555555555555555, 0.2777777777777778, 0.2788888888888889, 0.2833333333333333, 0.3055555555555556, 0.3288888888888889, 0.33666666666666667, 0.34, 0.3411111111111111, 0.3411111111111111, 0.3411111111111111, 0.3411111111111111, 0.3411111111111111, 0.34, 0.3377777777777778, 0.33111111111111113, 0.3211111111111111, 0.31444444444444447, 0.3055555555555556, 0.3022222222222222, 0.3, 0.3, 0.3011111111111111, 0.3011111111111111, 0.3011111111111111, 0.3, 0.29888888888888887, 0.29777777777777775, 0.3, 0.31666666666666665, 0.3511111111111111, 0.3711111111111111, 0.39222222222222225, 0.40444444444444444, 0.41555555555555557, 0.4266666666666667, 0.4266666666666667, 0.42444444444444446, 0.4077777777777778, 0.36444444444444446, 0.3377777777777778, 0.33, 0.33, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.33444444444444443, 0.3388888888888889, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.3388888888888889, 0.3088888888888889, 0.2877777777777778, 0.27555555555555555, 0.27111111111111114, 0.2677777777777778, 0.2633333333333333, 0.25666666666666665, 0.24666666666666667, 0.24, 0.2388888888888889, 0.2388888888888889]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0004564580012811348, 0.051541291002649814, 0.1018922079965705, 0.15220262500224635, 0.20266291599546093, 0.25339279099716805, 0.30402787499770056, 0.35382358299102634, 0.40331862500170246, 0.4535392499965383, 0.5036533329985105, 0.553613874988514, 0.6033368329954101, 0.6536287079943577, 0.7036060829996131, 0.7539602079923498, 0.8038041249965318, 0.8540033329918515, 0.9040197499998612, 0.9536831659934251, 1.0033969999931287, 1.0534470830025384, 1.102920165998512, 1.152926082999329, 1.2035003329947358, 1.254468540995731, 1.3060049579944462, 1.3562003330007428, 1.40570149999985, 1.455163040998741, 1.504855665989453, 1.5543841249891557, 1.6038179579918506, 1.6535333329957211, 1.7032841249892954, 1.7538245409959927, 1.8042557909939205, 1.8537604159937473, 1.9031107079936191, 1.9530614159884863, 2.0034301249979762, 2.053618749996531, 2.103986582995276, 2.153753582999343, 2.203497290989617, 2.2537325409939513, 2.3036607909889426, 2.3537424160022056, 2.403151207996416, 2.453705332998652, 2.5031174999894574, 2.5534057909972034, 2.6035603749915026, 2.653963415999897, 2.703933374999906, 2.7535630829952424, 2.8035506250016624, 2.853437290992588, 2.903704500000458, 2.9538531659927685, 3.003448457995546, 3.053385833001812, 3.103359624990844, 3.153674624991254, 3.2035700830019778, 3.2537951249978505, 3.3041733329882845, 3.3539938749891007, 3.4036580409883754, 3.4533775829913793, 3.50351604098978, 3.553403707992402, 3.603498832992045, 3.6528279159974772, 3.7022304580023047, 3.7518127910007024, 3.8012007499928586, 3.8509139160014456, 3.900513125001453, 3.9505634579982143, 4.001381374997436, 4.0511481249995995, 4.101194582995959, 4.151445999988937, 4.202430790988728, 4.253873540990753, 4.303791540995007, 4.353319290996296, 4.403293707990088, 4.453217374990345, 4.503883040990331, 4.553857165999943, 4.603626374999294, 4.653895249997731, 4.704146165997372]",0.005061999996541999,,,,938585,001,2023-10-12_13h25.00.518,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,2,0,2,0,,,,,,"[-0.29444444444444445, -0.29444444444444445, -0.29444444444444445, -0.29444444444444445, -0.29444444444444445, -0.3055555555555556, -0.33555555555555555, -0.35, -0.35444444444444445, -0.35777777777777775, -0.35888888888888887, -0.35555555555555557, -0.3488888888888889, -0.3477777777777778, -0.3477777777777778, -0.3477777777777778, -0.3488888888888889, -0.35333333333333333, -0.36, -0.3711111111111111, -0.37444444444444447, -0.37555555555555553, -0.37555555555555553, -0.37555555555555553, -0.37555555555555553, -0.37555555555555553, -0.37555555555555553, -0.37555555555555553, -0.37555555555555553, -0.37555555555555553, -0.37222222222222223, -0.36333333333333334, -0.3622222222222222, -0.3622222222222222, -0.3622222222222222, -0.3622222222222222, -0.3622222222222222, -0.3622222222222222, -0.3611111111111111, -0.35888888888888887, -0.35888888888888887, -0.35888888888888887]","[0.35888888888888887, 0.35888888888888887, 0.35888888888888887, 0.35888888888888887, 0.35888888888888887, 0.35, 0.3288888888888889, 0.32222222222222224, 0.3244444444444444, 0.33111111111111113, 0.33666666666666667, 0.34555555555555556, 0.3566666666666667, 0.36, 0.35777777777777775, 0.35444444444444445, 0.3488888888888889, 0.33555555555555555, 0.3188888888888889, 0.3022222222222222, 0.2922222222222222, 0.2811111111111111, 0.27666666666666667, 0.27666666666666667, 0.27666666666666667, 0.27666666666666667, 0.27666666666666667, 0.27666666666666667, 0.27666666666666667, 0.27666666666666667, 0.28, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2877777777777778, 0.28888888888888886, 0.29, 0.29]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017124999430961907, 0.049947790990700014, 0.09922533298959024, 0.148618915991392, 0.19843408299493603, 0.2482915409927955, 0.29862137499731034, 0.3485048750007991, 0.3983038750011474, 0.44849308299308177, 0.4991355829988606, 0.5488391659891931, 0.5981638329976704, 0.6475153329956811, 0.6970979159959825, 0.7466789579921169, 0.796223707991885, 0.8462349999899743, 0.8962261249980656, 0.946076832988183, 0.9958387499937089, 1.0452431659941794, 1.0949732500012033, 1.1439777499908814, 1.1935049999883631, 1.242556915996829, 1.2918865409883438, 1.3412403749971418, 1.3905701249896083, 1.440275582994218, 1.4900485830003163, 1.5395353749918286, 1.5891955409897491, 1.637845915989601, 1.6866924579953775, 1.7365088749938877, 1.7861734999896726, 1.8364013749960577, 1.886880874997587, 1.9364539999951376, 1.9869949579879176, 2.037280499993358]",0.017602042004000396,,,,938585,001,2023-10-12_13h25.00.518,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,3,0,3,0,,,,,,"[-0.4022222222222222, -0.4022222222222222, -0.4022222222222222, -0.4022222222222222, -0.4022222222222222, -0.4022222222222222]","[0.41555555555555557, 0.41555555555555557, 0.41555555555555557, 0.41555555555555557, 0.41555555555555557, 0.41555555555555557]","[0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.00017120898701250553, 0.04938762499659788, 0.09842745900095906, 0.14758379200065974, 0.19725158398796339, 0.2474931249889778]",0.016677874999004416,,,,938585,001,2023-10-12_13h25.00.518,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,33.33467162500892,,,938585,001,2023-10-12_13h25.00.518,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,"[-0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41]","[0.3933333333333333, 0.3933333333333333, 0.3933333333333333, 0.3933333333333333, 0.3933333333333333, 0.3933333333333333, 0.3933333333333333]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.00017895900236908346, 0.049154667009133846, 0.09822208400873933, 0.14778795900929254, 0.19781533400237095, 0.24818183400202543, 0.2983630840026308]",0.04631537500245031,,,,938585,001,2023-10-12_13h25.00.518,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,39.98048362499685,,,938585,001,2023-10-12_13h25.00.518,WythoffsHumanExp,2023.1.3,None,
