practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,tutorial_games.thisRepN,tutorial_games.thisTrialN,tutorial_games.thisN,tutorial_games.thisIndex,tutorial_turns.thisRepN,tutorial_turns.thisTrialN,tutorial_turns.thisN,tutorial_turns.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,blink_text.started,section_2_text.started,section_3_text.started,euclid_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261246,2,2024-02-07_09h22.52.277,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261246,2,2024-02-07_09h22.52.277,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.763018582991208,,,,,,,,,,,,,,261246,2,2024-02-07_09h22.52.277,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01706733400351368,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05, -0.12222222222222222, -0.16333333333333333, -0.1711111111111111, -0.1711111111111111, -0.1711111111111111, -0.1711111111111111, -0.1711111111111111, -0.17222222222222222, -0.17222222222222222, -0.17222222222222222, -0.17222222222222222, -0.17222222222222222, -0.17222222222222222, -0.17222222222222222, -0.17222222222222222]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06444444444444444, 0.19555555555555557, 0.2811111111111111, 0.29444444444444445, 0.29444444444444445, 0.29444444444444445, 0.29444444444444445, 0.29777777777777775, 0.3322222222222222, 0.3811111111111111, 0.3977777777777778, 0.40444444444444444, 0.40555555555555556, 0.40555555555555556, 0.40555555555555556, 0.40555555555555556]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001993750047404319, 0.05073533300310373, 0.09968924999702722, 0.1484849580010632, 0.19721745800052304, 0.24618950000149198, 0.29534808300377335, 0.3447777919936925, 0.39480891700077336, 0.4446330420032609, 0.49435733299469575, 0.5432883750036126, 0.592781333005405, 0.6425717920064926, 0.6932147500046995, 0.743779791999259, 0.7936600829998497, 0.8433832080045249, 0.8940583329967922, 0.9437600829987787, 0.9936642920074519, 1.0433956250053598, 1.0938252079940867, 1.1437515419966076]",75.67956283300009,62.8087734169967,,,,,261246,2,2024-02-07_09h22.52.277,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017008583003189415,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023333333333333334, 0.04555555555555556, 0.03666666666666667, 0.017777777777777778, 0.008888888888888889, 0.008888888888888889, 0.008888888888888889, 0.008888888888888889, -0.023333333333333334, -0.18222222222222223, -0.3055555555555556, -0.3511111111111111, -0.36, -0.36, -0.36, -0.36, -0.3711111111111111, -0.39555555555555555, -0.41444444444444445, -0.41888888888888887]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0033333333333333335, 0.056666666666666664, 0.1688888888888889, 0.2388888888888889, 0.27111111111111114, 0.28, 0.28, 0.28, 0.28, 0.2811111111111111, 0.3188888888888889, 0.36777777777777776, 0.38666666666666666, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225, 0.3933333333333333, 0.40444444444444444, 0.41555555555555557, 0.4177777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017320799815934151, 0.051314541007741354, 0.10052395799721126, 0.14961029100231826, 0.19850987500103656, 0.24761966599908192, 0.29653950000647455, 0.3455156249983702, 0.394657750002807, 0.44413470799918287, 0.49424316600197926, 0.5449436250055442, 0.5950022500037448, 0.6451331249991199, 0.6947728329978418, 0.7451657909987262, 0.7942815410060575, 0.8441962079959922, 0.8952414579980541, 0.9458692080079345, 0.9955340000014985, 1.0459597910084995, 1.0958537080005044, 1.1464899999991758, 1.1959903749957448, 1.245101207998232, 1.294045290997019, 1.3440081660082797, 1.393905208009528, 1.4447201250004582, 1.4956360409996705, 1.5452658330032136]",89.4670114999899,,,,,,261246,2,2024-02-07_09h22.52.277,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261246,2,2024-02-07_09h22.52.277,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261246,2,2024-02-07_09h22.52.277,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.61365312499402,,,,261246,2,2024-02-07_09h22.52.277,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016884791999473237,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04111111111111111, -0.13, -0.16333333333333333, -0.16555555555555557, -0.16555555555555557, -0.16555555555555557, -0.16555555555555557, -0.17666666666666667, -0.2633333333333333, -0.36, -0.38222222222222224, -0.3877777777777778, -0.3888888888888889, -0.39, -0.3933333333333333, -0.39555555555555555, -0.39555555555555555]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0044444444444444444, 0.09222222222222222, 0.21666666666666667, 0.29333333333333333, 0.3111111111111111, 0.3111111111111111, 0.3111111111111111, 0.3111111111111111, 0.3111111111111111, 0.33666666666666667, 0.37333333333333335, 0.3811111111111111, 0.3844444444444444, 0.3877777777777778, 0.39111111111111113, 0.39555555555555555, 0.4, 0.4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018333298794459552, 0.049915791998500936, 0.09850183299568016, 0.14682870799151715, 0.19846833299379796, 0.24830129199835937, 0.29828008299227804, 0.3478604169940809, 0.39725616699433886, 0.4473987919918727, 0.498688082996523, 0.5506803329917602, 0.6028292499977397, 0.6554873749992112, 0.7087046249944251, 0.7610876669932622, 0.813457499985816, 0.8643373329978203, 0.914335666995612, 0.964046666995273, 1.0137148329959018, 1.0641962499939837, 1.1141324999916833]",144.41381587499927,,,92.32645658300316,120.56570170799387,145.97010900000168,261246,2,2024-02-07_09h22.52.277,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261246,2,2024-02-07_09h22.52.277,WythoffsHumanExp,2023.1.3,None,
