board_outline.started,box_1.started,participant,session,date,expName,psychopyVersion,frameRate,
,,490647,001,2023-09-27_13h06.12.244,WythoffsHumanExp,2023.1.3,None,
9.356123625009786,9.356123625009786,,,,,,,
