games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,section_1_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,628380,001,2023-10-06_15h00.33.885,WythoffsHumanExp,2023.1.3,None,
,,,,,628380,001,2023-10-06_15h00.33.885,WythoffsHumanExp,2023.1.3,None,
,,,,88.04636495799787,628380,001,2023-10-06_15h00.33.885,WythoffsHumanExp,2023.1.3,None,
