games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,425214,001,2023-09-29_15h42.13.862,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,425214,001,2023-09-29_15h42.13.862,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,10.508197499999369,,425214,001,2023-09-29_15h42.13.862,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,425214,001,2023-09-29_15h42.13.862,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,425214,001,2023-09-29_15h42.13.862,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,2,0,2,0,,,425214,001,2023-09-29_15h42.13.862,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,25.979116791997512,425214,001,2023-09-29_15h42.13.862,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,425214,001,2023-09-29_15h42.13.862,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,425214,001,2023-09-29_15h42.13.862,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,425214,001,2023-09-29_15h42.13.862,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,40.73806104200048,425214,001,2023-09-29_15h42.13.862,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,425214,001,2023-09-29_15h42.13.862,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,47.38845954199496,425214,001,2023-09-29_15h42.13.862,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,425214,001,2023-09-29_15h42.13.862,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,425214,001,2023-09-29_15h42.13.862,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,,58.44948979199398,425214,001,2023-09-29_15h42.13.862,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,0,0,0,0,,,425214,001,2023-09-29_15h42.13.862,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,1,0,1,0,,,425214,001,2023-09-29_15h42.13.862,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,71.28509924999526,,,,,,,
